Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-346,BRITER ENGINEERING CO (PVT) LTD.,24- MAIN INDUSTRIAL ESTATE KOT LAKHPAT,,5152033-34,,BICYCLE,BICYCLES
NEW-347,CAPITAL INDUSTRIES,(PVT) LTD. 8-9-10/N INDUSTRIAL AREA GULBERG,,5752766,,BICYCLE,BICYCLES
NEW-348,PAKISTAN CYCLE INDUSTRIAL COOPERATIVE SOCIETY SHEIKHUPURA ROAD SHAHDARA,,,7920101-6,,BICYCLE,BICYCLES
NEW-349,RAHIM INDUSTRY SHAHDARA,,,7912794,,BICYCLE,BICYCLES
NEW-350,REFA INTERNATIONAL,"141-E, BLOCK, GULSHAN-E-RAVI",,37465689,,BICYCLE,BABY BICYCLE
NEW-351,ADNAN ENTERPRISES,,,7412603,,BICYCLE PARTS,CYCLE PARTS
NEW-352,AL-BADAR ENGINEERING (PVT) LTD.,JIAMUSA SHAHDARA,,,,BICYCLE PARTS,CYCLE PARTS
NEW-353,BAI TEX S.I.E. KOT LAKHPAT,,,,,BICYCLE PARTS,CYCLE PARTS
NEW-354,BRITER ENGINEERING CO. (PVT). LTD.,", 24 MAIN INDUSTRIAL ESTAE KOT LAKHPAT",,5152033,,BICYCLE PARTS,"CYCLE PARTS, MOTOR CYCLE PARTS"
NEW-355,C. B. INDUSTRY (PVT) LTD.,26-KM. MULTAN ROAD,,7242775,,BICYCLE PARTS,CYCLE PARTS
NEW-356,FLYING EAGLE INDUSTRIES,", 218-B/9, MULTAN ROAD, BADARPURA",,"7845891,
5414408",,BICYCLE PARTS,CYCLE PARTS
NEW-357,GOLD STAR CYCLE INDUSTRIES,GANDA NALA SHERAKOT,,0300 4245587,,BICYCLE PARTS,CYCLE PARTS
NEW-358,HAFIZ ABRAR CYCLE WORKS,"PLOT NO.74, GULSHAN RAVI, INDUSTRIAL ESTATE LAHORE",,7478612,,BICYCLE PARTS,CYCLE PARTS
NEW-359,HASCORP ENGINEERING(PVT) LTD.,25TH-KM MULTAN ROAD,,5540451,,BICYCLE PARTS,CYCLE PARTS
NEW-360,HIT INDUSTRY CHOHAN ROAD ISLAMPURA,,,,,BICYCLE PARTS,CYCLE PARTS
NEW-361,HI-TEC. ENGINEERING SERVICES 8-G.T ROAD,,,7924719,,BICYCLE PARTS,CYCLE PARTS
NEW-362,ITTEHAD CYCLE INDUSTRIES,NAFEESABAD SHALIMAR TOWN,,6545657,,BICYCLE PARTS,CYCLE PARTS
NEW-363,KHAN PLASTIC WORKS SAEED PARK SHAHDARA,,,271290,,BICYCLE PARTS,CYCLE PARTS
NEW-364,MALAIKA STEEL WORKS,"OPP. CHOHAN ROAD, BUND ROAD",,7214864,,BICYCLE PARTS,CYCLE PARTS
NEW-365,MODERN TOYES HAJVERY TOWN,MULTAN ROAD,,7832146,,BICYCLE PARTS,CYCLE PARTS
NEW-366,MUHAMMAD ASLAM ENGINEERING WORKS,9-C SHALIMAR LINK ROAD,,,,BICYCLE PARTS,CYCLE PARTS
NEW-367,OMEGA BICYCLE,"BUND ROAD, GULSHAN-E-RAVI",,7406475,,BICYCLE PARTS,CYCLE PARTS
NEW-368,PERVAIZ INDUSTRY 114-C,GULBERG ROAD GULBERG-III,,,,BICYCLE PARTS,CYCLE PARTS
NEW-369,SAEED ENGINEERING CO.,"LINK CHACHUWALI ROAD, MANAWALA BADIAN ROAD CANTT.,",,"5892702, 5893430",,BICYCLE PARTS,CYCLE PARTS
NEW-370,SAFINA RIM WORK,"MAIN BARA DARI ROAD, SHAHDARA",,7916049,,BICYCLE PARTS,CYCLE PARTS
NEW-371,SHAHBAZ CYCLE INDUSTRIES,SKP.ROAD SHAHDARA,,7923395,,BICYCLE PARTS,CYCLE PARTS
NEW-372,SHALIMAR CYCLE INDUSTRY JIA MOSA SHEIKHUPURA ROAD SHAHDARA MORE,,,2711370,,BICYCLE PARTS,CYCLE PARTS
NEW-373,SONY CYCLE IDUSTRY.,QURESHI T.NO. SANDA KALAN,,7232985,,BICYCLE PARTS,CYCLE PARTS
NEW-374,TARIQ ENGINEERINGWORKS FATEH GARH ROAD BAGHABANPURA,,,6851544,,BICYCLE PARTS,CYCLE PARTS
NEW-375,UNITED PLASTIC RUBBER WORKS MR.JOHN ST.SHAHDARA MORE,,,7911202,,BICYCLE PARTS,CYCLE PARTS
NEW-376,USMAN SPRING MFG.WORKS KOT KHAWAJA SAEED,,,6815508,,BICYCLE PARTS,CYCLE PARTS
