Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-2450,ADEEL RUBBER WORKS PLOT NO.228,INDUSTRIAL ESTATE KOT LAKHPAT,,5123248,,RUBBER PRODUCTS,RUBBER SHEET
NEW-2451,ASIA VINYL & RUBBER INDUSTRIES,", LINK KATAR BUND ROAD THOKAR NIAZ BAIG",,5411576-7,,RUBBER PRODUCTS,RUBBER SHEET
NEW-2452,ASIF ENTERPRISES,", KOT LAKHPAT",,35122890  35122880,,RUBBER PRODUCTS,RUBBER PRODUCTS
NEW-2453,ASIM MUNI RUBBER WORKS,SIRAJ PARK MOMINPURA,,6559095,,RUBBER PRODUCTS,RUBBER SHEET
NEW-2454,CHAWALA RUBBER & PLASTIC INDUSTRY (PVT) LTD.,KOT LAKHPAT,,35117771-3,,RUBBER PRODUCTS,RUBBER PRODUCTS
NEW-2455,DIAMOND RUBBER SHEET MAQBARA,MORE SAEED PARK SHAHDARA,,7911408,,RUBBER PRODUCTS,RUBBER SHEET
NEW-2456,EASTERN RUBBER WORKS 280 PECO ROAD,KOT LAKHPAT,,5854807,,RUBBER PRODUCTS,RUBBER PRODUCTS
NEW-2457,ENKAY RUBBER WORKS NOOR ROAD BADAMI BAGH,,,,,RUBBER PRODUCTS,RUBBER PRODUCTS
NEW-2458,ESKAY POLYMER (PVT) LTD.,", KOT LAKHPAT",,35110426,,RUBBER PRODUCTS,RUBBER PRODUCTS
NEW-2459,GHAFFAR SONS,(PVT) LIMITED,,"5118161, 5150423",,RUBBER PRODUCTS,RUBBER THREAD
NEW-2460,GOLDEN RUBBER WORKS,MOMANPURA ROAD,,6539448,,RUBBER PRODUCTS,RUBBER PRODUCTS
NEW-2461,HAQ RUBBER INUSTRIES PLOT NO.225/S. INDUSTRIAL AREA KOT LAKHPAT,,,"5154322, 5121377",,RUBBER PRODUCTS,RUBBER PRODUCTS
NEW-2462,HASEEB RUBBER INDUSTRIES,"PLOT NO.229, INDUSTRIAL ESTATE KOT LAKHPAT",,5123248,,RUBBER PRODUCTS,RUBBER SHEET
NEW-2463,HUSSAIN RUBBER WORKS BUND ROAD,NEAR NIAZI ADDA,,7561785,,RUBBER PRODUCTS,RUBBER SHEET
NEW-2464,JAN RUBBER FACTORY,BATAPUR G.T. ROAD,,6583084,,RUBBER PRODUCTS,RUBBER SHEET
NEW-2465,KOHINOOR RUBBER FACTORY,"BARADARI ROAD, SHAHDARA",,7930903,,RUBBER PRODUCTS,RUBBER SHEET
NEW-2466,LONGMAN MILLS,"14-N, INDUSTRIAL AREA GULBERG-II",,5755078-79,,RUBBER PRODUCTS,RUBBER PRODUCTS
NEW-2467,RAVI RUBBER  INDUSTRIES,"MALI PURA, GHATI STOP BUND ROAD",,7727767,,RUBBER PRODUCTS,RUBBER PRODUCTS
NEW-2468,RUBBER & PLASTIC INDUSTRIES,"(PVT) LTD, 43 INDUSTRIAL AREA, TOWNSHIP",,5117771-3,,RUBBER PRODUCTS,RUBBER SHEET
NEW-2469,RUBBERTEC ENGINEERING CO. 11312 QUAID-E-AZAM INDUSTRIAL ESTATE KOT LAKHPAT,,,5154828,,RUBBER PRODUCTS,RUBBER PRODUCTS
NEW-2470,SAMAD RUBBER WORKS (PVT) LTD.,", 409 FEROZEPUR ROAD",,"5836664, 5831605,
5836088",,RUBBER PRODUCTS,RUBBER SHEET
NEW-2471,SARWAR RUBBER WORKS 2.2 KM. KALA KHATAI ROAD,"SHAHDARA,",,7926302,,RUBBER PRODUCTS,RUBBER SHEET
NEW-2472,SHALIMAR ENTERPRISES,", GOHAWA MORE, DEFENCE ROAD, LAHORE CANTT",,5892505,,RUBBER PRODUCTS,RUBBER SHEET
NEW-2473,SHAMA RUBBER WORKS TYFON ST. BUND ROAD,,,7584285,,RUBBER PRODUCTS,RUBBER SHEET
NEW-2474,SHUJAAT RUBBER  WORKS NEAR GARH PIND,"BARADARI ROAD, SHAHDARA",,7914620,,RUBBER PRODUCTS,RUBBER SHEET
NEW-2475,SUNRISE RUBBER WORKS 2-RASHEED ROAD,"BILAL GUNJ,",,7248612,,RUBBER PRODUCTS,RUBBER SHEET
NEW-2476,T.M. ENTERPRISES,"PLOT NO.9-6, HOLIDAY PARK 55 K.M. RAIWIND ROAD",,"5320735-6, 5320659",,RUBBER PRODUCTS,RUBBER SHEET
NEW-2477,UNIVERSAL RUBBER CO. IBRAHIM ROAD KAMAL GUNJ,,,7354421,,RUBBER PRODUCTS,RUBBER SHEETS
NEW-2478,YASIR FOOTWEAR INDUSTRIES,", MOMINPURA ROAD, DAROGHAWALA",,6595551,,RUBBER PRODUCTS,FOOTWEAR SHEET
NEW-2479,ZAHID RUBBER WORKS,"MOMINPURA, ROAD, DAROGHAWALA",,6542898,,RUBBER PRODUCTS,RUBBER SHEET
NEW-2480,ZULFIQAR RUBBER SHEET ITTEFAQ ROAD,KOT LAKHPAT,,0333-4393204,,RUBBER PRODUCTS,RUBBER SHEET
,SJT INTERNATIONAL,"OFFICE NO.14, 2ND FLOOR, 86 RAILWAY ROAD, BADAR CENTER, LAHORE",MR. JAWAD TAHIR - Proprietor,"042-37381155, 042-37639500",jawadsheikh8088@gmail.com,RUBBER PRODUCTS,"INDUSTRIAL RUBBER V.BELT, RUBBERSBR1502, RUBBER RSS/5 ETC"
,HABIB SIKANDAR & COMPANY,47 NISHTER ROAD LAHORE,SH. ANEES-UR REHMAN - Proprietor,"042-37635195, 042-37635358",HSCL@BRAIN.NET.PK,RUBBER PRODUCTS,RUBBER PRODUCTS
