Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-2671,A. L. TEXTILE (PVT) LTD.,"43 KM., MULTAN ROAD MANGA MANDI",,"5384437, 5383370,
5384499",,TEXTILE SPINNING,COTTON YARN
NEW-2672,AL NASR TEXTILE LTD.,", 5 KM., MANGA ROAD RAIWIND",,"5391141, 5392064",,TEXTILE SPINNING,COTTON YARN
NEW-2673,ALAM SPINNING MILLS,"(PVT) LTD., WAQA HADD BAST MUZAA MAILL NEAR BADDO VILLAGE JATI UMRO ROAD OFF: RAIWIND ROAD",,35788851-66,,TEXTILE SPINNING,COTTON YARN
NEW-2674,ALI HAQ SPINNING (PVT) LTD,", 41 KM MULTAN ROAD",,5384195,,TEXTILE SPINNING,COTTON YARN
NEW-2675,AMJAD BROTHERS,"2 KM, SUNDER RAIWIND ROAD",,,,TEXTILE SPINNING,COTTON YARN
NEW-2676,ASHRAF SPINNING MILLS,"(PVT) LTD., 30 KM. FEROZEPUR ROAD",,5274135-8,,TEXTILE SPINNING,COTTON YARN
NEW-2677,B.K. TEXTILE INDUSTRIES,"(PVT) LTD., 19-KM MULTAN ROAD",,7510282,,TEXTILE SPINNING,COTTON YARN
NEW-2678,BAHAR INDUSTRIES,BAHAR SHAH ROAD CANTT.,,,,TEXTILE SPINNING,COTTON YARN
NEW-2679,BEXITEX (PVT) LTD.,"34 KM., FEROZEPUR ROAD",,,,TEXTILE SPINNING,COTTON YARN
NEW-2680,COMBINE SPINNING (PVT) LTD.,", 325-326 SUNDAR INDUSTRIAL ESTATE",,5851351-4,,TEXTILE SPINNING,COTTON YARN
NEW-2681,COMFORT KNITWEARS (PVT) LTD.,", 22 KM., FEROZEPUR ROAD ROHI NALA",,"5270184, 111000045,
www.ckl.com.pk",,TEXTILE SPINNING,COTTON YARN
NEW-2682,ELLEST SPINNING MILLS,", LTD, 6-3, KM MANGA ROAD, RAIWIND",,5383773-4,,TEXTILE SPINNING,COTTON YARN
