Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-2508,AHMED MEDIX (PVT.) LTD.,", 129/6 & 154-M, QUAID-E-AZAM INDUSTRIAL ESTATE, TOWNSHIP",,35213441,,SURGICAL INSTRUMENTS,SURGICAL INSTRUMENT
NEW-2509,AKHTAR SURGICAL WORKS BUND ROAD SHADIPURA,DAROGHAWALA,,,,SURGICAL INSTRUMENTS,SURGICAL INSTRUMENTS
NEW-2510,ARSHAD SURGICAL WORKS BHANIROAD,SHADIPURA,,654204,,SURGICAL INSTRUMENTS,SURGICAL INSTRUMENTS
NEW-2511,ASHFAQ SURGICAL WORKS BUND ROAD,,,,,SURGICAL INSTRUMENTS,SURGICAL INSTRUMENTS
NEW-2512,ESMICO ORTHOPAEDIC INDUSTRIES,SHEIKHUPURA ROAD,,"7927934,
www.esmico.com.pk",,SURGICAL INSTRUMENTS,SURGICAL INSTRUMENTS
NEW-2513,G.H.SONS SURGICAL WORKS G.T.ROAD P.O BAGHBANPURA,,,6860274,,SURGICAL INSTRUMENTS,SURGICAL INSTRUMENTS
NEW-2514,GLOW PAK INTERNATIONAL 194-S INDUSTRIAL AREA TOWNSHIP,,,5152995-7,,SURGICAL INSTRUMENTS,SURGICAL INSTRUMENTS
NEW-2515,G-MED EQUIPMENTS 11-A,HARBANSPURA,,6631635,,SURGICAL INSTRUMENTS,HOSPITAL FURNITURE
NEW-2516,LATIF SURGICAL WORKS,"NABIPURA, LALPUL, MUGHALPURA",,,,SURGICAL INSTRUMENTS,SURGICAL CHAIRS
NEW-2517,MED SURG INATERNATIONAL 8-KM RAIWIND ROAD,,,5320605,,SURGICAL INSTRUMENTS,SYRINGES
NEW-2518,MIRZA NIAZ MUHAMMAD & SONS,,,6630900,,SURGICAL INSTRUMENTS,HOSPITAL FURNITURE
NEW-2519,PAKISTAN PADIATOIN SERVICES 18-K.M. MULTAN ROAD,,,7510945,,SURGICAL INSTRUMENTS,SURGICAL INSTRUMENTS
NEW-2520,QAZZAFI MEDICO / SURGICAL NEW SHAHID PARK BEHIND PAKISTAN MINT RASHID PURA,,,,,SURGICAL INSTRUMENTS,HOSPITAL FURNITURE
NEW-2521,S. FAZLILAHI 7& SONS,"(PVT) LTD., 1.5-K.M. RAIWIND SUNDER ROAD, RAIWIND",,35393571,,SURGICAL INSTRUMENTS,SURGICAL INSTRUMENT
NEW-2522,SAB POLYMER INDUSTRIES,"(PVT) LTD. 5 KM., RAIWIND ROAD ALI RAZA ABAD NEAR FATEH ABAD RUKH KHUMBA",,"5320885-6,
www.sab.com.pk",,SURGICAL INSTRUMENTS,CANULA
NEW-2523,SHAHID SURGICAL WORKS BUND ROAD SHADIPURA,,,,,SURGICAL INSTRUMENTS,SURGICAL CHAIRS
NEW-2524,SIDDIQUE SURGICAL WORKS GULSHANPARK ROAD LALPULL,MUGHALPURA,,6850884,,SURGICAL INSTRUMENTS,SURGICAL CHAIRS
