Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-2025,"A.F.M. PESTICIDES 1-KM
KATAR BUND ROAD THOKAR NIAZ BAIG",,,5417080,,PESTICIDES / INSECTICIDES,PESTICIDES
NEW-2026,AGROLET CHEMICALS INDUSTRIES,"(PVT) LTD., 131/3 INDUSTRIAL ESTATE, KOT LAKHPAT",,35123801-3,,PESTICIDES / INSECTICIDES,PESTICIDES / INSECTICIDES
NEW-2027,AURIGA CHEMICAL ENTERPRISES,33-KM MULTAN ROAD,,5380256-7,,PESTICIDES / INSECTICIDES,PESTICIDES
NEW-2028,FARM SHIELD (PVT) LTD.,3-KM DEFENCE ROAD MULTAN ROAD MOHLAN WAL,,5835930 5869164,,PESTICIDES / INSECTICIDES,PESTICIDES & INSECTICIDES
NEW-2029,FMC UNITED (PVT) LTD.,18-KM MULTAN ROAD,,7510095,,PESTICIDES / INSECTICIDES,"PESTICIDES, POWDER, GRANULAR"
NEW-2030,FORMULATION INDSTRIES (PVT) LTD.,KACHA JAIL ROAD,,5826007,,PESTICIDES / INSECTICIDES,PESTICIDES
NEW-2031,MALIK PESTICIDES (PVT) LTD.,KATAR BUND ROAD THOKAR NIAZ BAIG,,5411920,,PESTICIDES / INSECTICIDES,PESTICIDES
NEW-2032,PAK CHINA CHEMICALS 1-KM BHOPATIAN CHOWK DEFENCE ROAD,,,5321464-65,,PESTICIDES / INSECTICIDES,FORMULATION OF PESTICIDES
NEW-2033,PAK CHINA MANUFACTURING (PVT) LTD,", 1 KM BHOPTIAN CHOWK DEFENCE ROAD OFF RAIWIND ROAD",,35321461-5,,PESTICIDES / INSECTICIDES,PESTICIDES / INSECTICIDES
NEW-2034,SAYBAN INTERNATIONAL,"33-KM., MULTAN ROAD,",,"04951-380256, 35380256",,PESTICIDES / INSECTICIDES,PESTICIDES / INSECTICIDES
NEW-2035,SOLDIER INSECTICIDES 33-SHARIF PARK MULTAN ROAD,,,7555151,,PESTICIDES / INSECTICIDES,PESTICIDES & INSECTICIDES
NEW-2036,STANDARD INSECTICIDES (PVT) LTD.,13-KM MULTAN ROAD,,413451 417020,,PESTICIDES / INSECTICIDES,PESTICIDES & INSECTICIDES
NEW-2037,SYNGENTA PAKISTAN LTD.,", PLAT NO. 90, KOT LAKHPAT, INDUSTRIAL ESTATE",,32354240,,PESTICIDES / INSECTICIDES,PESTICIDES / INSECTICIDES
NEW-2038,TYFON CORP.,BUND ROAD,,"7550345
www.tyfon.com.pk",,PESTICIDES / INSECTICIDES,PESTICIDES & INSECTICIDES
NEW-2039,UNIVERSAL AGRO (PVT) LTD.,24-KM MULTAN ROAD,,,,PESTICIDES / INSECTICIDES,PESTICIDES RE-PACKING
NEW-2040,WELDONE INTERNATIONAL 28-KM FEROZEPUR ROAD,,,5270129,,PESTICIDES / INSECTICIDES,PESTICIDES
NEW-2041,WELDONE INTERNATIONAL,"JULKAY ROAD OF 28 KM., FEROZPUR ROAD",,35270129,,PESTICIDES / INSECTICIDES,PESTICIDES / INSECTICIDES
