Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-1256,A.F. STEEL RE-ROLLING MILLS,"LAKHODAIR ROAD, NEAR NEW SHALIMAR TOWN",,6546063,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1257,A.H. INDUSTRIES,"MOMINPURA, ROAD, DAROGHAWALA",,6541327,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1258,A.N. INDUSTRIES,"(PVT) LTD., 9-KM FEROZEWALA G.T. ROAD SHAHDARA",,37963771-4,,IRON & STEEL RE-ROLLING MILLS,M.S PRODUCTS
NEW-1259,ABBAS STEEL INDUSTRIES,LAKHODAIR ROAD SHALIMAR TOWN,,,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1260,ABDUL HAMID STEEL MILLS,SULTAN MOHMOOD ROAD,,,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1261,ABDUL JABBAR STEEL MILLS,LAKHODAIR ROAD,,,,IRON & STEEL RE-ROLLING MILLS,M.S. BAR
NEW-1262,ABID STEEL INDUSTRIES,LAKHODAIR ROAD,,,,IRON & STEEL RE-ROLLING MILLS,M.S. BAR
NEW-1263,ADIL STEEL RE-ROLLING MILLS,SOHARWARDI STREET SHALIMAR TOWN,,6548301,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1264,AFCO STEEL INDUSTRIES,", 38-PECO ROAD, BADAMI BAGH",,37283371-73,,IRON & STEEL RE-ROLLING MILLS,M.S PRODUCTS
NEW-1265,AFZAL STEEL RE-ROLLING MILLS,KHOKHAR ROAD BADAMI BAGH,,7282923,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1266,AGRO STEEL INDUSTRIES,BUND ROAD DAROGHAWALA,,6826651,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1267,AHMAD SADIQ STEEL RE-ROLLING MILLS,LAKHODAIR ROAD,,,,IRON & STEEL RE-ROLLING MILLS,M.S. BAR
NEW-1268,AHMAD STEEL MILLS,BHANI ROAD,,,,IRON & STEEL RE-ROLLING MILLS,M.S. BAR
NEW-1269,AHMAD STEEL RE-ROLLING MILLS,SULTAN MEHMOOD ROAD,,6549402,,IRON & STEEL RE-ROLLING MILLS,M.S. BAR
NEW-1270,AHMED DIN STEEL RE-ROLLING MILLS,GHOREY SHAH ROAD,,,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1271,AHMED WAQAR INDUSTRIES,"BHANI ROAD, SHADIPURA.",,NIL,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1272,AJMAL STEEL RE-ROLLING MILLS,", SULTAN MAHMOOD ROAD, SHALAMAR TOWN",,6854211,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1273,AKBAR STEEL MILLS,G.T.ROAD DAROGHAWALA,,6891603,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1274,AKHTAR BROTHERS,MISRI SHAH,,,,IRON & STEEL RE-ROLLING MILLS,M.S. BAR
NEW-1275,AKHTAR STEEL RE-ROLLING MILLS,", MAHMOOD BOOTI LAKHODAIR ROAD SHAHLAIMAR TOWN",,,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1276,AL QAMAR STEEL RE-ROLLING MILLS,G.T. ROAD DROGHAWALA,,65442966,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1277,ALFA STEEL (PVT) LDT. SHAHEEN PARK MUGHALPURA,,,331436,,IRON & STEEL RE-ROLLING MILLS,M.S. BAR
NEW-1278,AL-FAISAL INDUSTRIES,"BUND ROAD, SHADIPURA DAROGHAWALA",,6545018,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1279,AL-FARID CASTING SHEHLAZ COLONY  HUNDAN CHOWK,BADAMI BAGH,,NIL,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1280,ALLAH RAKHA STEEL INDUSTRIES,LAKHODAIR ROAD SHALIMAR TOWN,,,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1281,ALLIED METEL INDUSTRIES,25-KM HAJI KOT DRUM STOP KALA KATAI ROAD SHAHDARA,,37020388,,IRON & STEEL RE-ROLLING MILLS,DRUM ALL SORT
NEW-1282,ALLIED STEEL RE-ROLLING MILLS,LAKHODAIR ROAD,,,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1283,ALLIED TRADERS STEEL RE-ROLLING MILLS,SULTAN MEHMOOD ROAD,,6861780,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1284,ALTAF INDUSTRIES,MOMINPURA ROAD,,,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1285,AMER STEEL RE-ROLLING MILLS,SULTAN MAHMOOD ROAD SHALIMAR TOWN,,335349,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1286,AMIN STEEL INDUSTRIES,LAKHODAIR ROAD,,,,IRON & STEEL RE-ROLLING MILLS,M.S. BAR
NEW-1287,AMIR ASIM STEEL RE-LOING MILLS,"PVT., LTD., SULTAN MAHMOOD ROAD, SHALIMAR TOWN",,6546565,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1288,AMMAR STEEL INDUSTRIES,"SULTAN MAHMOOD ROAD, SHALIMAR TOWN",,6548848,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1289,AMMAR STEEL RE-ROLLING MILLS,MAHMOOD BOOTI BUND ROAD,,6544220,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1290,ANWAR STEEL INDUSTRIES,LAKHODAIR ROAD,,,,IRON & STEEL RE-ROLLING MILLS,M.S. BAR
NEW-1291,ARIF STEEL RE-ROLLING MILLS,"STULTAN MAHMOOD ROAD, MEHMOOD BOOTI, SHALIMAR TOWN",,,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1292,ARSHAD INDUSTRIES,"SULTAN MAHMOOD ROAD, SHALAMAR TOWN",,6853594,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1293,ARSHAD STEEL ROLLING MILLS,"SHALIMAR TOWN, LAKHODAIR",,6550698,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1294,ARYAN STEEL INDUATRIES (PVT) LTD.,RAJPUT STREET BADAMI BAGH,,7280957-8,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1295,ASAD STEEL RE-ROLLING MILLS,"STEET NO.61-A, NEW SHAD BAGH WASANPURA, MUHAMMADI MOHALLAH",,,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1296,ASAD STEEL RE-ROLLING MILLS,"WASANPURA, MALI PURA OPP. RAILWAY STEEL SHOP, LALPUL MUGHALPURA",,,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1297,ASAD STEEL RE-ROLLING MILLS,", SULTAN MAHMOOD ROAD, SHAHLIMAR TOWN",,6552277,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
