Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-1099,"A-S INDUSTRY 7-KM SKP ROAD, NEAR SOHRAB FACTORY",SHAHDARA,,7934122,,G.I. / M.S.PIPES,M.S. PIPES
NEW-1100,ASIA METAL INDUSTRY NEAR RAVI BRIDGE,"SAEED PURA, SHAHDARA",,7933389 7931757,,G.I. / M.S.PIPES,M.S. PIPES
NEW-1101,CROLL PIPE INDUSTRIES,", BUND ROAD, KROL GHATI",,6810556,,G.I. / M.S.PIPES,M.S. PIPES
NEW-1102,FAROOQ KHALID PIPE MILLS,LTD. NOOR ROAD,,6263335-6,,G.I. / M.S.PIPES,M.S. PIPES
NEW-1103,FAZAL BROTHER SUI GAS ROAD,SAEED PARK SHAHDARA,,7921611,,G.I. / M.S.PIPES,M.S. PIPES
NEW-1104,FINE PIPE INDUSTRY MALIPURA,BARADARI ROAD,,7933771,,G.I. / M.S.PIPES,M.S. PIPES
NEW-1105,G.R METAL INDUSTRY 19 K M MULTAN ROAD,,,7224706,,G.I. / M.S.PIPES,G.I. PIPE
NEW-1106,G.R. IQBAL INDUSTRIES,G.T. ROAD SHAHDARA,,711911,,G.I. / M.S.PIPES,M.S. PIPES
NEW-1107,INAYAT PIPE INDUSTRY,"BUND ROAD, KROL GHATI BHOGIWAL LAHORE",,6865904 6813354,,G.I. / M.S.PIPES,M.S. PIPES
NEW-1108,JAMAL PIPE INDUSTRIES,(PVT) LTD. 88-RAILWAY ROAD,,"7650707, 7650909",,G.I. / M.S.PIPES,G.I. PIPE
NEW-1109,M.H IND. (PVT) LTD.,", 57-RAVI ROAD",,7705915,,G.I. / M.S.PIPES,M.S. PIPES
NEW-1110,MADINA PIPE MILLS,SUI GAS ROAD SHAHDARA,,7922225,,G.I. / M.S.PIPES,M.S. PIPES
NEW-1111,MAHBOOB TUBES MILLS,"ST.NO.1, RANA TOWN, SHAHDARA",,7927072 7927071,,G.I. / M.S.PIPES,M.S. PIPES
NEW-1112,MODERN PIPE MILLS,"(PVT) LTD., BARA DARI ROAD, SHAHDARA",,7921970 7921992,,G.I. / M.S.PIPES,M.S. PIPES
NEW-1113,MODERN PIPE MILLS,", (PVT) LTD., UNIT NO.1 & 2 BARA DARI ROAD, SHAHDARA",,7637121,,G.I. / M.S.PIPES,M.S. PIPES
NEW-1114,MUHAMMAD SAEED ENGINEERING,"WORKS ABDUL QAYYUM ROAD, MISRI SHAH",,7285718,,G.I. / M.S.PIPES,M.S. PIPES
NEW-1115,NEW PAK NATIONAL INDUSTRY SHAHDARA,,,711062,,G.I. / M.S.PIPES,M.S. PIPES
NEW-1116,NEW PIPE CASTING NOOR ROAD BADAMI BAGH,,,7280906,,G.I. / M.S.PIPES,M.S. PIPES
NEW-1117,PAK MUGHAL ENTERPRISES,"MAQBARA MORE RAVI TOWN, SHAHDARA",,042-7922779,,G.I. / M.S.PIPES,STEEL PIPES
NEW-1118,PARADISE PIPE INDUSTRIES,"BUND ROAD, OPP. KISSAN COLD STORAGE",,6855716,,G.I. / M.S.PIPES,M.S. PIPES
NEW-1119,PRIME STEEL WORKS SHEIKHUPURA ROAD SHAHDARA,SAEED PARK,,7913526,,G.I. / M.S.PIPES,M.S. PIPES
NEW-1120,RAMNA PIPE & GENERAL MILLS,LTD 130/4 INDUSTRIAL AREA KOT LAKHPAT,,5150661-3,,G.I. / M.S.PIPES,M.S. PIPES
NEW-1121,ROYAL TUBES (PVT) LTD.,",BEHIND SUI GAS POWER STATION KHURSHID PARK JIA MOOSA SKP ROAD, SHAHDARA",,7222660,,G.I. / M.S.PIPES,M.S. PIPES
NEW-1122,SAMAD PIPE INDUSTRIES,", (PVT) LTD., G.T. ROAD, SHAHDARA",,7920829,,G.I. / M.S.PIPES,M.S. PIPES
NEW-1123,SUPER INDUSTRY NOOR ROAD BADAMI BAGH,,,,,G.I. / M.S.PIPES,M.S. PIPES
NEW-1124,TECHNO EINGG. CORPORATION KACHA VILLAGE,KACHA B1638,,5271596,,G.I. / M.S.PIPES,M.S. PIPES
NEW-1125,USMAN PIPE FACTORY,"6-IQBAL PARK, MAIN BUND ROAD",,7709896,,G.I. / M.S.PIPES,M.S. PIPES
NEW-1126,YASIN PIPE INDUSTRIES,ASHFAQ PURA LAHORE,,6851456,,G.I. / M.S.PIPES,M.S. PIPES
NEW-1127,ZEENAT STEEL MILLS,14-KM MULTAN ROAD,,7511253 7511605,,G.I. / M.S.PIPES,M.S. PIPES
NEW-1128,ZEESHAN ENTERPRISES,(STEEL MILL) 68-RAVI ROAD,,7730850 7728423,,G.I. / M.S.PIPES,M.S. PIPES
