Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
,NAFFAY BATTERY (PVT) LTD.,Kasur - GAGGA SERAI ROAD 49 KM MULTAN ROAD BHAI PHERU BATTERIES,,7604440,,BATTERIES,
,TEPAL TEA (PVT) LTD.,Kasur - MANGA RAIWIND ROAD BLENDING OF TEA,,5063891-4,,TEA BLENDING,
,"WASEEM ENGG. (PVT) LTD,",Kasur - 49 KM MULTAN ROAD www.gratine.engg.com CEMENT PRODUCTS,,4540295,,CONCRETE POLES,
,ADVANCE CHEMICAL (PVT) LTD.,Kasur - 7 KM. RAIWIND MANGA ROAD CHEMICAL,,6361501-6366005,,OXALIC ACID,
,AZAM CHEMICALS,Kasur - 15 KM KASUR FEROZEPUR ROAD CHEMICAL,,4902644,,GELATINE,
,BAHU CHEMICAL INDUSTRIES,Kasur - KHAIM KARAN ROAD CHEMICAL,,0300-9410795,,ZINC SULPHATE,
,CHAND CHEMICAL INDUSTRIES,Kasur - (PVT) LTD. 54 KM CHUNIAN INDUSTRIAL ESTATE CHEMICAL,,04943-9214,,"COBALT NEPHTHINATE , BUTYLE ACETATE",
,MIDAS CHEMICAL INDUSTRIES,Kasur - LTD. 6 KM KOT RADHA KIHSAN ROAD CHEMICAL,,0492-002009,,ACITIC ACID,
,MOON CHEMICALS,"Kasur - 47 KM SIE FEROZEPUR ROAD , 0300-4476500 CHEMICAL",,5764597,,"ZINC SULPHATE, TONIC SPRAY MULTISOL",
,TUFAIL CHEMICAL INDUSTRIES,Kasur - (PVT) LTD. 7 KM RAIWIND MANGA ROAD VILLAGE ROSSA CHEMICAL,,5383951-2,,"FORMIC ACID, SODIAM SULPHATE, ASTEX",
,TUFAIL CHEMICALS INDUSTRIES,Kasur - LTD. 7 KM RAIWIND MANGA ROAD CHEMICAL,,5383951-5,,"SULPHURIC ACID, FORMIC ACID SODIUM SULPHATE",
,PAK FOREST INDUSTRIES,Kasur - (PVT) LTD. 4 KM. MANGA RAIWIND ROAD CHIP / STRAW BOARD,,,,VENEER BOARD,
,QULAITY BOARD INDUSTRIES,Kasur - (PVT) LTD. 31.5 KM MOUZA BABLIAN OTTAR RAIWIND ROAD CHIP / STRAW BOARD,,5391209-10,,HARD BOARD,
,ABBAS COLD STORAGE,Kasur - 21 KM DEPALPUR ROAD COLD STORAGE,,,,VEGETABLE/ FRUIT,
,ABDULLAH COLD STORAGE AND AGRO FOOD ENTERPRISES,Kasur - 9 KM DEPALPUR ROAD 400 COLD STORAGE,,0492002097- 2719,,VEGETABLE/ FRUIT,
,ICEPAK LTD.,Kasur - 6 KM MANGA RAIWIND ROAD COLD STORAGE,,5383644-6,,VEGETABLE/ FRUIT,
