Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-1,AWAN ELECTRONICS (PVT) LTD.,30 KM RAIWIND ROAD TIBBA PAJJIA,,,,"AC /REFRIGERATOR
/DEEP FREEZER",DEEP FREEZERS
NEW-2,BREEZE FROST INDUSTRIES,"(PVT) LTD., HARBANS PURA ROD P.O TAJPURA",,"36631656, 36631993",,"AC /REFRIGERATOR
/DEEP FREEZER",CONDENCER & PARTS
NEW-3,CONTINENTAL AIR CONTROL (PVT) LTD.,"5 KM., HARBANSPURA PIR NASEER ROAD CHAUDIAN",,"6632179,
www.conair.com.pk",,"AC /REFRIGERATOR
/DEEP FREEZER",HUMIDIFICATION PLANT
NEW-4,COOL INDUSTRIES,(PVT) LTD. HANJERWAL MULTAN ROAD,,5410739,,"AC /REFRIGERATOR
/DEEP FREEZER",DEEP FREEZERS
NEW-5,COOL POINT (PVT) LTD.,", ADDA PLOT SHAHRAIZ AVENUE ADDA PLOT JATTI UMRA ROAD OFF RAIWIND ROAD",,35322612-17,,"AC /REFRIGERATOR
/DEEP FREEZER",A/C
NEW-6,HIRA FAROOQ LIMITED,", 20 KM FEROZEPUR ROAD",,5274311,,"AC /REFRIGERATOR
/DEEP FREEZER","DEEP FREEZERS,       AC"
NEW-7,HNR COMPANY (PVT) LTD,19.5 KM RAIWIND ROAD,,"5330371-3,
www.haier.com.pk",,"AC /REFRIGERATOR
/DEEP FREEZER","AC, REFRIGERATOR, DEEP FREEZER, MICROWAVE OVEN, WASHING MACHINE"
NEW-8,KENTAX SIRGROH (PVT) LTD.,", INDUSTRIAL AREA KATAR BUND ROAD OFF TOKHER NAIZ BAIG",,35434424-25,,"AC /REFRIGERATOR
/DEEP FREEZER",A/C
NEW-9,ORIENT ELECTRONICS (PVT) LTD.,", 26-KM MULTAN ROAD",,111-111-660,,"AC /REFRIGERATOR
/DEEP FREEZER","REFRIGERATOR, A/C, W.DISPENSER, LCD, ENERGY SAVER"
NEW-10,PAK ELECTRON LTD.,14 KM FEROZE PUR ROAD,,"5810156
www.pel.com.pk",,"AC /REFRIGERATOR
/DEEP FREEZER","AC,                     DEEP
FREEZERS"
NEW-11,PETAL ENGINEERING (PVT) LTD.,UMAR KHAN ROAD MANAWAN G.T. ROAD,,6581076,,"AC /REFRIGERATOR
/DEEP FREEZER","SPLIT AC, CHILLERS"
NEW-12,SHERRYCOOL INDUSTRIES,"1 KM., JOREPUL, HARBANSPURA ROAD,",,6632283,,"AC /REFRIGERATOR
/DEEP FREEZER","CHILLER, COOLING TOWER, A.H.U."
NEW-13,SHERRYCOOL INDUSTRIES,1-KM JOREPUL HARBANSPURA ROAD POST OFFICE TAJPURA,,"36631980, 36632283",,"AC /REFRIGERATOR
/DEEP FREEZER",COMMERCIAL A/C UNIT
NEW-14,SIMCKOOL INDUSTRIES,", 120-D NEW SHALIMAR TOWN MADINA STREET GULSHAN-E-RAVI",,"37470507, 37028585",,"AC /REFRIGERATOR
/DEEP FREEZER",COMMERCIAL A/C UNIT
NEW-15,UMERDRAZ ENGINEERING CO. 100-S-SMALL INDUSTRIAL ESTATE TOWNSHIP,,,"35119080, 35120967",,"AC /REFRIGERATOR
/DEEP FREEZER",ICE PANT & COLD STORAGE
NEW-16,VARIOLINE INTERCOOL PAKISTAN (PVT) LTD.,132-G.T.ROAD BAGHBANPURA,,6826164-5,,"AC /REFRIGERATOR
/DEEP FREEZER",DEEP FREEZERS
