Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-1881,A.F. PACKAGES GHULAM HUSSAIN STREET,"SHERAKOT, BUND ROAD",,7465151,,PACKAGES,CORRUGATED BOX
NEW-1882,A.S. PACKAGES SANDA STOP BUND ROAD,,,7146198,,PACKAGES,CORRUGATED PAPER
NEW-1883,ADREES CORRUGATION WORKS GUNJI ROAD,BILAL GUNJ NEAR DHOBI GHAT,,7356838,,PACKAGES,CORRUGATED PAPER
NEW-1884,AKHTAR PACKAGING 5.5KM RAIWIND ROAD,,,5320548,,PACKAGES,CORRUGATED BOX
NEW-1885,ALNOOR PACKAGES INDUSTRIES,"(PVT) LTD., HOLIDAY PARKS RAIWIND ROAD",,5320461,,PACKAGES,CORRUGATED BOX
NEW-1886,AL-WASSEY PACKAGES 73-HAJVERI TOWN,MULTAN ROAD,,5419312,,PACKAGES,CORRUGATED BOX
NEW-1887,AM PACKS 18KM FEROZEPUR ROAD,,,5801250,,PACKAGES,CORRUGATED BOX
NEW-1888,AMIR PACKAGES AND ENTERPRISES,"MEHRAJ PARK JARANWALA, ROAD",,7912653,,PACKAGES,CORRUGATED BOX
NEW-1889,ARIF CARTOON 47-GHOREY SHAH ROAD,,,6843455,,PACKAGES,CORRUGATED BOX
NEW-1890,BADSHAH PACKAGES CHHOTA SANDA THANA STOP BUND ROAD,,,7464500,,PACKAGES,CORRUGATED BOX
NEW-1891,BEADAN HYGENIC PRODUCTS (PVT) LTD.,", 260 SUNDAR INDUSTRIAL ESTATE",,6312877,,PACKAGES,"TISSUE PAPERS, PAPERS"
NEW-1892,CARTON PACKAGES INDUSTRIES,", FAZAL PARK, BUND ROAD, SHADBAGH",,7283745,,PACKAGES,CORRUGATED BOX
NEW-1893,CHAUDHRY PACKAGES AMIN PARK BUND ROAD,,,7723869,,PACKAGES,CORRUGATED BOX
NEW-1894,CHENAB INDUSTRIAL PACKAGES BUND ROAD,MAHMOOD BOOTI,,6853870,,PACKAGES,CORRUGATED BOX
NEW-1895,CORRUBOARD INDUSTRIES,JUNCTION LAKHODAIR SHADIPURA BUND ROAD,,6545398,,PACKAGES,CORRUGATED BOX
NEW-1896,DYNAPACK NEAR NOBLE TV FACTORY,DEFENCE ROAD,,5320480,,PACKAGES,CORRUGATED BOX
NEW-1897,FANCY PACKAGES (PVT) LTD.,16 KM MULTAN ROAD,,7511600,,PACKAGES,CORRUGATED BOX
NEW-1898,FINE PACK LAHORI,"3NOOR ROAD, SIDDIQIA COLONY",,7611437,,PACKAGES,CORRUGATED BOX
NEW-1899,FRONTIER ELECTRIC COMPANY (PVT) LTD.,113/5 INDUSTRIAL ESTATE KOT LAKHPAT,,,,PACKAGES,CORRUGATED BOX
NEW-1900,G.D. HABIB PACKAGING INDUSTRY 17KM FEROZEPUR ROAD,,,,,PACKAGES,CORRUGATED BOX
NEW-1901,GHANI PACKAGING LTD.,INDUSTRIAL ESTATE KOT LAKHPAT,,,,PACKAGES,PACKING MATERIAL
NEW-1902,HAFIZ AMJAD PACKAGES MALIPURA BUND ROAD,,,7722489,,PACKAGES,CORRUGATED BOX
NEW-1903,HAMZA PACKAGES 18 KM MULTAN ROAD,,,"7511405, 7511013",,PACKAGES,CORRUGATED BOX
NEW-1904,I.M. PACKAGES SHERA KOT BUND ROAD,,,7418805,,PACKAGES,CORRUGATED BOX
NEW-1905,ILAYS PACKAGES KASURPURA COLLEGE MAIN BUND ROAD,,,7720370,,PACKAGES,CORRUGATED BOX
NEW-1906,IMPERIAL PACKAGING INDUSTRIES,(PVT) LTD. VILLAGE JADHOO DHEER SOA AROL ROAD RAIWIND,,"5837608, 5833560",,PACKAGES,CORRUGATED BOX
NEW-1907,IMRAN PACKAGES BUND ROAD,,,7113071,,PACKAGES,CORRUGATED BOX
NEW-1908,IMRAN PACKAGING DARS ROAD,"SHALIMAR LINK ROAD, MUGHALPURA",,6855918,,PACKAGES,CORRUGATED BOX
NEW-1909,INDUSTRIAL SACKS (PVT) LTD.,123 INDUSTRIAL AREA KOT LAKHPAT,,,,PACKAGES,PAPER SACKS /BAGS
NEW-1910,IR ASHI PACKAGES 7-DUBAI PARK 14-KM G.T. ROAD,,,6530552,,PACKAGES,CORRUGATED BOX
NEW-1911,J.P. CORPORATION COLLEGE ROAD BUND ROAD,,,,,PACKAGES,PACKING MATERIAL
NEW-1912,K. B. PACKERS ILYAS STREET KOT LAKHPAT,,,5882274,,PACKAGES,CARTONS
NEW-1913,KAKASIAN PACKAGES (PVT)  LTD,175-INDUSTRIAL AREA KOT LAKHPAT,,7235090,,PACKAGES,PAPER SACKS /BAGS
NEW-1914,KAMI PACKAGES 6KM RAIWIND ROAD,,,5320223,,PACKAGES,CORRUGATED BOX
NEW-1915,KHAWAR PACKAGES MAIN BUND ROAD,,,7141983,,PACKAGES,CORRUGATED BOX
NEW-1916,KING PACKAGES(PVT) LTD,18-KM FEROZEPUR ROAD,,5811546-8,,PACKAGES,CORRUGATED BOX
NEW-1917,LAHORE PACKAGES 144 MOLLANA AHMAD ALI ROAD,,,7723039,,PACKAGES,CORRUGATED BOX
NEW-1918,MAJEED PACKAGES T-5 BUND ROAD,,,7142702,,PACKAGES,CORRUGATED BOX
NEW-1919,MEHRAB PACKAGES INDUSTRIES,502-PINDI STOP,,,,PACKAGES,CARTONS
NEW-1920,MODERN PACKAGING INDUSTRY 15 KM MULTAN ROAD,,,,,PACKAGES,PACKING MATERIAL
NEW-1921,MOON PACKAGES 129/S I.E. KOTLAKHPAT,,,5123691-98,,PACKAGES,CORRUGATED BOX
NEW-1922,NAEEM CONTAINER GULSHAN-E-RAVI NEAR AJMAL HOUSING BUND ROAD,,,7434115,,PACKAGES,CORRUGATED BOX
NEW-1923,NASIR PACKAGES NEAR ITTEFAQ GRID STATION KOT LAKHPAT,,,5821592-93,,PACKAGES,PACKING MATERIAL
NEW-1924,NATIONAL PACKAGES KHAN DIESEL,CHOHAN ROAD,,0300-4602442,,PACKAGES,CORRUGATED BOX
NEW-1925,PACKAGES LTD.,P.O. AMER SIDHU SHAHRAH-E-ROOMI,,5811541-46,,PACKAGES,PACKING MATERIAL
NEW-1926,PACKWELL (PVT) LTD.,52 53 A GLAXO TOWN 20 KM FEROZE PUR ROAD,,,,PACKAGES,CORRUGATED BOX
NEW-1927,PAK PACKAGES 159 MAIN INDUSTRIAL AREA KOT LAKHPAT,,,5118916,,PACKAGES,CORRUGATED BOX
NEW-1928,PAKISTAN INTERNATIONAL RETIGON ROAD,GHORA HOSPITAL LAHORE,,7114108,,PACKAGES,CORRUGATED BOX
NEW-1929,PAKSOL (PVT) LTD.,90 SUNDAR INDUSTRIAL ESTATE,,5169783,,PACKAGES,PACKING MATERIAL
NEW-1930,PAPER PACKAGING (PVT) LTD.,123-INDUSTRIAL ESTATE KOT LAKHPAT,,,,PACKAGES,PACKING MATERIAL
NEW-1931,POLY PACKAGING LTD.,20KM FEROZEPUR ROAD,,,,PACKAGES,PACKING MATERIAL
NEW-1932,POLY SCALS (PVT) LTD.,", 108 I.E. TOWNSHIP",,5118338,,PACKAGES,PAPER CUPS
NEW-1933,POLYSEALS (PVT)LTD 108-SMALL INDUSTRIAL ESTATE KOT LAKHPAT,,,7591321,,PACKAGES,MOULDED PAPER CUPS
NEW-1934,PRIME PACKAGES 1.7KM THOKAR NIAZ BAIG MULTAN ROAD,,,5410303-4,,PACKAGES,CORRUGATED BOX
NEW-1935,PUNJAB PACKAGES CHOWK YATEEM KHANA,,,7587235,,PACKAGES,CORRUGATED BOX
NEW-1936,RAHIM FARM PACKAGING DEFENCE ROAD BHUBTIAN CHOWK,,,5320440,,PACKAGES,CORRUGATED BOX
NEW-1937,ROSHAN PACKAGES (PVT) LTD.,", 7 KM., SUNDER RAIWIND ROAD",,7860014-5,,PACKAGES,CORRUGATED BOX
NEW-1938,ROYAL PACKAGES NEAR RAVI BRIDGE BUND ROAD,,,7922279,,PACKAGES,CORRUGATED BOX
NEW-1939,SAAD PACKAGES BUND ROAD SANDA KALAN,,,7245832,,PACKAGES,CORRUGATED BOX
NEW-1940,SAS CONTAINERS 19KM MOZAMAL TOWN,MULTAN ROAD,,7511406,,PACKAGES,CORRUGATED BOX
NEW-1941,SHAHBAZ PACKAGES CHOWK GREEN TOWN,,,,,PACKAGES,CARTONS
