Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-918,CITI FOAM INDUSTRIES,(PVT) LTD. 23 KM MULTAN ROAD,,7540336-37 111-111-666,,FOAM MANUFACTURING,"FOAM, QUILTS"
NEW-919,DIAMOND INDUSTRIES,"LTD., 23-KM MULTAN ROAD MOHLANWAL",,111-111-666,,FOAM MANUFACTURING,FOAM
NEW-920,DURA FOAM (PVT) LTD.,8. KM FEROZEPUR ROAD,,5814728-32,,FOAM MANUFACTURING,FOAM
NEW-921,MUMTAZ FOAM (PVT) LTD.,18 KM INDUSTRIAL AREA TOWN SHIP,,5119123,,FOAM MANUFACTURING,FOAM
NEW-922,NATIONAL FOAM INDUSTRIES,8-KM RAIWIND ROAD,,5321771,,FOAM MANUFACTURING,FOAM
NEW-923,OLYMPIA FOAM ENTERPRISES,PLOT NO. 285 SIE KOT LAKHPAT,,,,FOAM MANUFACTURING,FOAM
NEW-924,UNITED FOAM INDUSTRIES,(PVT) LTD. 16-KM MULTAN ROAD,,"7511240, 7722890",,FOAM MANUFACTURING,FOAM
NEW-1251,COATES LORILLEUX PAKISTAN LTD.,C/O PACKAGES LTD. SHAHRAH-E-ROOM AMER SADHU,,042-5822178,,INK MANUFACTURING,PRINTING INK
NEW-1252,PAKISTAN INK & PACKAGING INDUSTRIES,LTD. 14 KM MULTAN ROAD,,7511167,,INK MANUFACTURING,PRINTING INK
NEW-1253,S.ALTAF & BROTHERS,", 64 BUND ROAD, SHAHDARA TOWN",,7922862,,INK MANUFACTURING,PRINTING INK
NEW-1254,SHEIKH GHULAM ALI & SONS,(PVT) LTD. NEAR JAMIA ASHRAFIA FEROZEPUR ROAD,,"7588979, 7581664",,INK MANUFACTURING,PRINTING INK
NEW-1255,SHEIKH PRINTING INK WORKS GHOUSIA PARK BUND ROAD,,,7415837,,INK MANUFACTURING,PRINTING INK
NEW-2497,ALL PAKISTAN SPRING MFG.CO 80 RAILWAY ROAD,,,,,SPRING MANUFACTURING,SPRING
