Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-456,ABDUL REHMAN ABDUR REHIM COLD STORAGE MALIPURA BUND ROAD,,,7646309,,COLD STORAGE,VEGITABLES / FRUITS
NEW-457,ABDUL SALAM COLD STORAGE MEHMOOD BOOTI BUND ROAD NEAR SHALIMAR KANTA,,,6547942,,COLD STORAGE,VEGITABLES / FRUITS
NEW-458,AFZAL COLD STORAGE BUND ROAD,,,6260121,,COLD STORAGE,VEGITABLES / FRUITS
NEW-459,AHMED COLD STORAGE BHANI ROAD,CHOWK GANJA,,6530937,,COLD STORAGE,VEGITABLES / FRUITS
NEW-460,AHMED COLD STORAGE MAIN BUND ROAD,NEAR RAVI  BRIDGE,,7766739,,COLD STORAGE,VEGITABLES / FRUITS
NEW-461,AL AZIZ COLD STORAGE BUND ROAD,"AMAR ROAD, SHADBAGH",,7604237,,COLD STORAGE,VEGITABLES / FRUITS
NEW-462,AL-HAMAD COLD STORAGE NEW RAVI LINK ROAD,,,6304854,,COLD STORAGE,VEGITABLES / FRUITS
NEW-463,AL-KHALIL COLD STORAGE,CHOWK GANJA SINDHU BHANI ROAD,,6556155,,COLD STORAGE,VEGITABLES / FRUITS
NEW-464,AL-RIAZ COLD STORAGE BUND ROAD,MAHMOOD BOOTI,,6849851,,COLD STORAGE,VEGITABLES / FRUITS
NEW-465,AMAN COLD STORAGE BADAMI BAGH,,,"7280806, 7280056",,COLD STORAGE,VEGITABLES / FRUITS
NEW-466,AMIR COLD STORAGE BHOGIWAL ROAD,,,6824011,,COLD STORAGE,VEGITABLES / FRUITS
NEW-467,AWAMI COLD STORAGE,MAHMOOD BOOTI BUND ROAD,,6547215,,COLD STORAGE,VEGITABLES / FRUITS
NEW-468,AZIZ COLD STORAGE RAHIM ROAD MISRI SHAH,,,7280762,,COLD STORAGE,VEGITABLES / FRUITS
NEW-469,BABA COLD STORAGE,MHMOOD BOOTI ROAD,,6551553,,COLD STORAGE,VEGITABLES / FRUITS
NEW-470,BABU RAFIQ COLD STORAGE BHOGIWAL ROAD BAGHBANPURA,,,6824600,,COLD STORAGE,VEGITABLES / FRUITS
NEW-471,BAHAR COLD STORAGE FRUIT MARKET,BADAMI BAGH,,7701574,,COLD STORAGE,VEGITABLES / FRUITS
NEW-472,BAKHTAWAR COLD STORAGE 80-INDUSTRIAL AREA KOT LAKHPAT,,,5810018,,COLD STORAGE,VEGITABLES / FRUITS
NEW-473,BASHARAT COLD STORAGE,BUND ROAD,,,,COLD STORAGE,VEGITABLES / FRUITS
NEW-474,BHATTI COLD STORAGE BUND ROAD,,,,,COLD STORAGE,VEGITABLES / FRUITS
NEW-475,BISMILLAH  COLD STORAGE FRUIT MARKET,BADAMIBAGH,,7723320,,COLD STORAGE,VEGITABLES / FRUITS
NEW-476,CHAUDHRY COLD STORAGE FRUIT MARKET BADAMI BAGH,,,7723801,,COLD STORAGE,VEGITABLES / FRUITS
NEW-477,CHAUDRI COLD STORAGE UMAR USMAN (PVT) LTD.,14-A NEW FRUIT MARKET RAVI LINK ROAD,,"7723830, 7723206",,COLD STORAGE,VEGITABLES / FRUITS
NEW-478,COMBIND COLD STORAGE (PVT) LTD.,"1 BUND ROAD, MAHMOOD BOOTI",,6546049,,COLD STORAGE,VEGITABLES / FRUITS
NEW-479,CRESCENT COLD STORAGE FEROZEPUR ROAD,,,,,COLD STORAGE,VEGITABLES / FRUITS
NEW-480,FAZAL COLD STORAGE KATAR BUND ROAD,,,5221106,,COLD STORAGE,VEGITABLES / FRUITS
NEW-481,FAZAL ULLAH COLD STORAGE G.T.ROAD ATTA TOWN,,,6582404,,COLD STORAGE,VEGITABLES / FRUITS
NEW-482,FIRDOUS COLD STORAGE BUND ROAD SHAHDARA,,,,,COLD STORAGE,VEGITABLES / FRUITS
NEW-483,FIVE STAR COLD STORAGE,1-REHAN COLD STORAGE MIAN PARK BADAMI BAGH,,7289647,,COLD STORAGE,VEGITABLES / FRUITS
NEW-484,GHAZI COLD STORAGE (PVT) LTD.,KHOKHAR TOWN BUND ROAD,,2776638,,COLD STORAGE,VEGITABLES / FRUITS
NEW-485,GHAZI COLD STORAGE BUND ROAD,,,7722831,,COLD STORAGE,VEGITABLES / FRUITS
NEW-486,GLASIER COLD STORAGE,558-A SUNDAR INDUSTRIAL ESTATE,,"4552227, 4552287",,COLD STORAGE,VEGITABLES / FRUITS
NEW-487,H.K. COLD STORAGE,"FRUIT MARKET, BADAMI BAGH",,7704441,,COLD STORAGE,VEGITABLES / FRUITS
NEW-488,HAIDRI COLD STORAGE,"BHANI ROAD, SHADIPURA",,6861524,,COLD STORAGE,VEGITABLES / FRUITS
NEW-489,HAJI MUHAMMAD ASHIQ COLD STORAGE,G.T. ROAD,,6545614,,COLD STORAGE,VEGITABLES / FRUITS
NEW-490,HAJWARI COLD STORAGE BUND ROAD MAHMOOD BOOTI,,,6816178,,COLD STORAGE,VEGITABLES / FRUITS
NEW-491,HAMZA COLD STORAGE 34-KM MULTAN ROAD,,,5380333,,COLD STORAGE,VEGITABLES / FRUITS
NEW-492,HAQ COLD STORAGE FRUIT MARKET BADAMI BAGH,,,7607796,,COLD STORAGE,VEGITABLES / FRUITS
NEW-493,HASSAN COLD STORAGE 113-KOT LAKHPAT,,,,,COLD STORAGE,VEGITABLES / FRUITS
