Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-1602,A VON SHOES COMPANY (PVT) LTD.,1 REHMAN PARK GULBERG-II LAHORE,,"5870085, 5756856",,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1603,A.P. FOOTWEAR  NOOR ROAD SOHAIL PARK BADAMI BAGH,,,37282454 37720561,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1604,ACTION INDUSTRIES,(PVT) LTD. 18 NADEEM PARK PECO ROAD KOT LAKHPAT,,,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1605,AISHA SONS,3 KM BULHAR ROAD ROOHI NALAH OFF 22 KM FEROZEPUR ROAD,,35260483-4,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1606,AKFA SHOES KOT KHAWAJA SAEED,,,,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1607,ARMA SHOES AHMED ALI ROAD,,,,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1608,ARMY WELFARE SHOE PROJECT KOT LAKHPAT PECO ROAD,,,5121258,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1609,ASKARI SHOES  41-PECO ROAD KOT LAKHPAT INDUSTRIAL ETATE,,,35121258 35152736,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1610,ASLAM SHOES FACTORY,SAWAMI NAGAR,,,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1611,BARKAT ALI SHOES NEAR PANIWALA TALAB,,,,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1612,BAS ENTERPRISES,"PLOT NO.36, UMAR TOWN SHERA KOT BUND ROAD",,37467303,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1613,BATA PAKISTAN LTD,G.T.ROAD P.O.BATAPUR,,111-094-055,,LEATHER FOOTWEARS,"RUBBER & CANVAS, THONG,    LEATHER FOOTWEAR, PLASTIC SHOES"
NEW-1614,BHATTI SHOE FACTORY,SHER SHAHROAD KOT KHAWAJA SAEED,,,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1615,BRITE SHOES FACTORY,(PLASTIC WORKS) 204-TIMBER MARKET RAVI ROAD,,37729059 35422090,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1616,CLASSIC SHOES FACTORY,17 KM FEROZEPUR ROAD,,,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1617,DISCO SHOES INDUSTRIES,", 53-NISBET ROAD",,37222560  37229561,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1618,DULEX INTERNATIONAL LTD.,25-K-M RAIWIND ROAD,,5320151-2,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1619,EPCT (PVT) LTD.,", 45/50 INDUSTRIAL AREA GULBERG-III",,35756181-3,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1620,EVA ALLIANCE SHOES INDUSTRY,"61-HARI PARK, BUND ROAD",,2020790,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1621,FALAK SHOES INDUSTRIES,"128/3, INDUSTRIAL AREA, KOT LAKHPAT",,5122403,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1622,FAYVA SHOES,KOT LAKHPAT,,,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1623,FIRHAJ FOOTWEAR (PVT) LTD.,21 KM FEROZEPUR ROAD,,"5273385-6.
www.firhaj.com",,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1624,FOUR SEASONS FOOTWEAR  INTERNATIONAL,23-MILKHY GROUND ST. RAILWAY ROAD GOWAL MANDI,,37639581,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1625,GOMILA INTERSOLE 551-C&D SUNDAR INDUSTRIAL ESTATE,,,35297487,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1626,INAYAT ALI SHOES MAKER CHUNA MANDI,,,,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1627,JAMIL BROS. TIMBER MARKET RASHID ROAD,,,,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1628,K SHOES (PVT) LTD.,", 1 KM DEFENCE ROAD OFF RAIWIND ROAD",,35320040-1-2,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1629,KHAWAR SHOES (PVT) LTD.,SHAH MUHAMMAD PARK WAHGA,,,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1630,KIRAN SHOES FACTORY,KOT KHAWAJA SAEED,,6821113,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1631,L.K. SHOES FACOTY GHORE SHAH ROAD LAHORE,,,6810568,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1632,LEODONA SHOES FACTORY,SHALIMAR LINK ROAD,,,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1633,M.K. SHOES KHOKHAR ROAD BADAMI BAGH,,,7287620,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1634,MALIK SHOES FACTORY,KOT KHAWAJA SAEED,,,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1635,MAQBOOL SHOE FACTORY,CHOWK KOT KHAWAJA SAEED,,6853029,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1636,MASTER SHOE FACTORY,IQBAL PARK DEFENCE CANTT.,,,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1637,MASTER SHOES FACTORY,MAIN BUND ROAD,,7681686,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1638,MOHSIN INDUSTRIES,"(PVT) LTD., 13-A, BULBERG-III",,5600373-74,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1639,MUHAMMAD AMIN SHOES FACTORY,ABIOK ROAD ANARKALI,,,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1640,MUHAMMAD FAYYAZ SHOES FACTORY,", 18-KM, FEROZEPUR ROAD",,5812550,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1641,N.K. SHOES NOOR ROAD BADAMI BAGH,,,,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1642,NEW HEERA SHOE FACTORY,(PVT) LIMITED KOT KHAWAJA SAEED LAHROE,,6810048,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1643,PAIDAR SHOES FACTORY,AIBOK ROAD ANARKALI,,,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1644,Q-T.S FOOTWEAR,"17-K.M. G.T. WAGHA ROAD, LAHRE",,6546764,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1645,ROAD MASTER INTERNATIONAL MOMINPURA,"ROAD, DAROGHAWALA",,6533091,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1646,R-SHOES INDUSTRIES,", 17 KM, OFF. BATAPUR, G.T. ROAD",,6541716,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1647,SADAQAT SHOES MOHNI ROAD,,,,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1648,SARTAJ SHOES FACTORY,MAIN CANAL NEAR MADINA TOWN HARBANSPURA,,36544505,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1649,SEEKO SHOES G.T. ROAD COOPERATIVE STORE,,,,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1650,SHAH SHOE FACTORY,BARADARI ROAD SHAHDARA,,,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1651,SHAMIM SHOES FACTORY,225-S KOT LAKHPAT,,,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1652,SHAUKAT SHOES FACTORY,", CHOWK GHOREY SHAH",,7607034,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1653,SIGMA MABEL SHOE FACTORY,AIBOK ROAD ANARKALI,,,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1654,SLATCH SHOES INDUSTRY MOHNI ROAD,,,,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1655,STARLET PRODUCTS (PVT) LTD.,", KASURPURA, BUND ROAD",,"7722918,
www.starlet.com.pk",,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1656,TAHIR SHOES IMMAM LODGE MAIN RASHID ROAD,BUND ROAD,,7720602,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1657,TOP FIT SHOES INDUSTRIES,128/2 INDUSTRIAL AREA KOT LAKHPAT,,5111327-9,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1658,V.I.P. SHOE RASHID ROAD BILAL GUNJ,,,,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1659,WEGA STAR UMER TOWN PLOT NO. 38,INDUSTRIAL AREA BUND ROAD,,7402288,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1660,ZAHEER SHOES,"VENUS HOUSING SCHEME, 17 KM., FEROZEPUR ROAD",,5821598,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1661,ZEEN'S INTERNATIONAL (PVT) LTD.,"17 KM., WAHGA G.T. ROAD MANAWAN INSIDE BAGHWALI PULLI",,6584031,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
NEW-1662,ZIMBA SHOES,"UMER TOWN, BUND ROAD, PLOT NO.36",,7467303,,LEATHER FOOTWEARS,LEATHER FOOTWEARS
