Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-411,AL-MIRAJ CERAMICS 2-KM KALAKHATAI ROAD SHAHDARA,,,5931561,,CERAMICS PRODUCTS,CERAMICS PRODUCTS
NEW-412,NOBLE CARAMIES LAKHADAIR JUNCTION BUND ROAD,,,6545409-12,,CERAMICS PRODUCTS,ELECTRIC ACCESSORIES
NEW-2044,A.H.Y. PLASTIC INDUSTRIES,"NOOR- ROAD, BADAMI BAGH",,7601363,,PLASTIC PRODUCTS,PLASTIC PRODUCTS
NEW-2045,A.K.PLASTIC MALIK PARK,,,7228722,,PLASTIC PRODUCTS,PLASTIC PRODUCTS
NEW-2046,A.M. PLASTIC COMPANY,"ST.NO.8 MOHALLAHA MOHAMMDI PURA, JATTAN, BAGHBANPURA",,36819058-59,,PLASTIC PRODUCTS,PLASTIC PRODUCTS
NEW-2047,A.Z. PLASTIC INDUSTRIES,"PLOT NO.242/5, INDUSTRIAL AREA KOT LAKHPAT",,5110772,,PLASTIC PRODUCTS,PLASTIC PRODUCTS
NEW-2048,AHMED PLASTIC INDUSTRIES,CROWN PARK BAGHBANPURA,,,,PLASTIC PRODUCTS,PLASTIC PRODUCTS
NEW-2049,AHMED PLASTIC RASHID ROAD BUND ROAD,,,7227985,,PLASTIC PRODUCTS,PLASTIC PRODUCTS
NEW-2050,AKRAM ENGINEERING WORKS BUND ROAD,,,7231720,,PLASTIC PRODUCTS,PLASTIC PRODUCTS
NEW-2051,AL QURESHI PET BOTTLES 319-320 SUNDAR INDUSTRIAL ESTATE,,,6650250,,PLASTIC PRODUCTS,PLASTIC PRODUCTS
NEW-2052,ALI AHMED CORP,; GULSHAN COLONY,,0333-4306245,,PLASTIC PRODUCTS,PLASTIC PRODUCTS
NEW-2053,ALPHA PLASTIC INDUSTRIES,74-TIMBER MARKET RAVI ROAD,,7720763-7723155,,PLASTIC PRODUCTS,PLASTIC SHOES
NEW-2054,AL-WATAN GROUP,"18 KM., FEROZEPUR ROAD NEAR ATTARI DARBAR",,"5824838,
www.alwatan.com.pk",,PLASTIC PRODUCTS,PLASTIC SHOES
NEW-2055,ANGEL PLASTIC ZUBARI ROAD RAJGARH,,,7711964,,PLASTIC PRODUCTS,PLASTIC PRODUCTS
NEW-2056,ARCO PLASTIC (PVT) LTD.,545-D SUNDAR INDUSTRIAL ESTATE,,"5877855, 5875245",,PLASTIC PRODUCTS,PLASTIC PRODUCTS
NEW-2057,ASHRAF INDUSTRIES,", BUND ROAD, NEAR CHINA SCHEME, SHAHBAZ ROAD",,7289248,,PLASTIC PRODUCTS,WATER TANK
NEW-2058,ASIA CHEMICAL CO. KOT LAKHPAT,,,,,PLASTIC PRODUCTS,PLASTIC PRODUCTS
NEW-2059,ASLAM PLASTIC WORKS JAMIL PARK KOT KHAWAJA SAEED,,,,,PLASTIC PRODUCTS,PLASTIC PRODUCTS
NEW-2060,AUTOMOTIVE PLASTIC (PVT) LTD.,", 3-KM DEFENCE ROAD JALIANA VILLAGE",,35340092,,PLASTIC PRODUCTS,PLASTIC PRODUCTS
