Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-2006,AL-HILAL PAPER MILLS,(PVT) LTD. 31 KM. FEROZEPUR ROAD,,5863647,,PAPER AND PAPER BOARD,PAPER BOARD
NEW-2007,AL-NOOR PAPER MILLS,"16-KM RAIWIND ROAD, ARYIAN",,63300048-9,,PAPER AND PAPER BOARD,FLUTING PAPER
NEW-2008,AL-QURAISH BOARD MILLS,(PVT) LTD. 70-KOT LAKHPAT,,5151573,,PAPER AND PAPER BOARD,PAPER
NEW-2009,BEADAN HYGENIC PRODUCTS (PVT) LTD.,"537-B, SUNDAR INDUSTRIAL ESTATE, RAIWIND ROAD",,36312877,,PAPER AND PAPER BOARD,TISSUE PAPERS
NEW-2010,BEST PAPER BOARD MILLS,"(PVT) LTD., 6 KM., DEFENCE ROAD KAHNA KACHA ROAD, FEROZEPUR ROAD",,5271503,,PAPER AND PAPER BOARD,PAPER
NEW-2011,BROTHERS PAPER MILLS,(PVT) LTD 16-KM RAIWIND ROAD,,0342-7354062,,PAPER AND PAPER BOARD,PAPER
NEW-2012,HUDABIYA PAPER MILLS,LTD. 2/3 KM RAIWIND MANGA ROAD RAIWIND,,,,PAPER AND PAPER BOARD,FLUTING PAPER
NEW-2013,HUMA KRAFT PRODUCTS (PVT) LTD.,DEFENCE ROAD 19 KM. FEROZEPUR ROAD,,,,PAPER AND PAPER BOARD,PAPER BOARD
NEW-2014,KABEER PAPER BOARD MILLS,"(PVT) LTD., PLOT NO.112/17 INDUSTRIAL AREA KOT LAKHPAT",,5122295,,PAPER AND PAPER BOARD,FLUTING PAPER
NEW-2015,KPL PAPER MILLS,"DEFENCE ROAD, KAHNA KACHA ROAD",,5874090,,PAPER AND PAPER BOARD,PAPER
NEW-2016,MADINA INDUSTRIES,(PVT) LTD 10-KM MULTAN ROAD,,,,PAPER AND PAPER BOARD,PAPER
NEW-2017,MEHAR PAPER PRODUCTS (PVT)LTD ROHI NALA KAHNA KACHA,,,,,PAPER AND PAPER BOARD,PAPER
NEW-2018,NAZIR PAPER BOARD PRODUCT PVT,"LTD., 2-KM DEFENCE ROAD",,7541190,,PAPER AND PAPER BOARD,FLUTING PAPER
NEW-2019,OMAR TISSUE MILLS,"(PVT) LTD., 132/5 KOTLAKHPAT I.E.",,5122481,,PAPER AND PAPER BOARD,PAPER
NEW-2020,PACPRO INDUSTRIES,INDUSTRIAL ESTATE KOT LAKHPAT,,,,PAPER AND PAPER BOARD,TISSUE PAPERS
NEW-2021,PAK BOARD AND PAPER MILLS,510-PECO ROAD KOT LAKHPAT,,"5881195, 5880767",,PAPER AND PAPER BOARD,FLUTING PAPER
NEW-2022,PIONEER BOARD PRODUCTS (PVT) LTD.,"107-IE, RAIWIND",,7354747,,PAPER AND PAPER BOARD,LINER & CRAFT PAPER
NEW-2023,REHMAN BOARD MILLS,(PVT) LTD. 31 KM RAIWIND ROAD,,7840495,,PAPER AND PAPER BOARD,HARD BOARD
NEW-2024,SADIQ PAPER PRODUCTS (PVT) LTD,"; 12 KM G.T. ROAD, SHAHDARA.",,7920626,,PAPER AND PAPER BOARD,PAPER
