Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-685,ASIA STEEL FURNACE RASHEEDPURA BAGHBANPURA,,,6850607,,ELECTRIC FURNACE,STEEL FURNACE PRODUCTS
NEW-686,CHOUDHRY CASTING & INDUTRIES BHOGIWAL,,,"6816078, 7283343",,ELECTRIC FURNACE,STEEL FURNACE PRODUCTS
NEW-687,IRFAN BROTHERS,KHOKAR ROAD BADAMI BAGH,,7280711,,ELECTRIC FURNACE,STEEL FURNACE PRODUCTS
NEW-688,NASEER STEEL FURNACE DIN ROAD BADAMI BAGH,,,6276943,,ELECTRIC FURNACE,STEEL FURNACE PRODUCTS
NEW-689,NEW REHMAT STEEL INDUSTRIES,BHOGIWAL ROAD,,6819526,,ELECTRIC FURNACE,STEEL FURNACE PRODUCTS
NEW-690,PAK STEEL MILLS,BHOGIWAL BUND ROAD,,6817457,,ELECTRIC FURNACE,STEEL FURNACE PRODUCTS
NEW-691,PARAMOUNT ENGINEERING WORKS KALA KHATI ROAD SHAHDARA,,,7926726,,ELECTRIC FURNACE,STEEL FURNACE PRODUCTS
NEW-692,QUDRAT ELAHI & CO FEROZEPUR RD,,,5273452,,ELECTRIC FURNACE,STEEL FURNACE PRODUCTS
NEW-693,REHMAN STEEL FURNACE (PVT) LTD,BHOGIWAL CHOWK BUND RD,,6819996,,ELECTRIC FURNACE,STEEL FURNACE PRODUCTS
NEW-694,S.A. STEEL FOUNDRY KACHA RAHIM RD,,,7281754,,ELECTRIC FURNACE,STEEL FURNACE PRODUCTS
NEW-695,SHAHID IMRAN INDUSTRIES,", MAMANPURA ROAD",,6550449,,ELECTRIC FURNACE,STEEL FURNACE PRODUCTS
NEW-696,SIDDIQUE IRON INDUSTRIES,(PVT) LTD BHOGIWAL BUND RD,,6819739,,ELECTRIC FURNACE,STEEL FURNACE PRODUCTS
NEW-697,SUFI STEEL INDUSRIES (PVT) LTDKALA KHATAI ROAD SHAHDARA,,,7925585,,ELECTRIC FURNACE,STEEL FURNACE PRODUCTS
NEW-698,TAJ STEEL MILLS,(PVT) LTD. MAHBOOB ROAD BADAMI BAGH,,7605826,,ELECTRIC FURNACE,STEEL FURNACE PRODUCTS
NEW-699,TARIQ STEEL FURNACE,"BUND ROAD, CHINA SCHEME",,0332-4812904,,ELECTRIC FURNACE,STEEL FURNACE PRODUCTS
