Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-756,ESCORTS (PAKISTAN) LTD.,28 KM MULTAN ROAD,,844523,,ELECTRIC METERS,ELECTRIC METERS
NEW-757,ESSA ENGINEERING COMPANY (PVT) LTD,113/4 INDUSTRIAL AREA TOWN SHIP,,5150825,,ELECTRIC METERS,ELECTRIC METERS
NEW-758,SB ELECTRONICS ENGINEERING & CONTROL (PVT) LTD.,31-KM FEROZEPUR ROAD,,"5274112-3, 7532260-61",,ELECTRIC METERS,ELECTRIC METERS
NEW-759,SYED BHAIS (PVT) LTD.,200-FEROZEPUR ROAD,,7589197-9,,ELECTRIC METERS,ELECTRIC METERS
NEW-760,BAIG ELICTICAL COMPANY (PTV) LTD,2 K.M KATAR BUND ROAD THOKAR NIAZ BAIG,,5420217,,ELECTRIC TRANSFORMERS,TRANSFORMERS
NEW-761,ELECTRO SERVICE INDUSTRIES,(PVT)  LTD 8-WINDSOR PARK ICHHRA,,7560534,,ELECTRIC TRANSFORMERS,TRANSFORMERS
NEW-762,ELMETEC (PVT) LTD.,", 19 KM., FEROZEPUR ROAD",,5800042-6,,ELECTRIC TRANSFORMERS,TRANSFORMERS
NEW-763,HAMMAD AND COMPANY 162 MOZAMMAL TOWN OPP: WAPDA GRID MULTAN ROAD,,,"7510463, 7510463
www.hammadco.com",,ELECTRIC TRANSFORMERS,TRANSFORMERS
NEW-764,HAMMAD ENGINEERING CO (PVT) LTD.,", 162-MUZAMAL TOWN OPP. WAPDA GRID 19-KM MULTAN ROAD",,37510463,,ELECTRIC TRANSFORMERS,TRANSFORMER REPAIRING
NEW-765,J.F INDUSTRIES,CHOWK DAROGHEWALA G.T. ROAD,,36545876,,ELECTRIC TRANSFORMERS,TRANSFORMER REPAIRING
NEW-766,MAQBOOL AND BROTHERS,1.5 KM CH. ROAD OFF 16 KM FEROZEPUR ROAD,,35804864,,ELECTRIC TRANSFORMERS,TRANSFORMER REPAIRING
NEW-767,PAK ELECTRON LTD.,FEROZEPUR ROAD,,5811955-6,,ELECTRIC TRANSFORMERS,TRANSFORMERS
NEW-768,TRANS FAB UMAR KHAN ROAD KOT KAMBOH MANAWAN 19 KM.,G.T. ROAD,,"6580590, 5710015-16",,ELECTRIC TRANSFORMERS,TRANSFORMERS
NEW-769,TRANS PAK ELECTRO INDUSTRIES,(PTV)LTD LINK KATAR BUND ROAD THOKAR NIAZ BAIG,,5221324-27,,ELECTRIC TRANSFORMERS,TRANSFORMERS
NEW-770,TRANS TECH SIRAJ PARK MOMINPURA,,,6545634,,ELECTRIC TRANSFORMERS,TRANSFORMERS
NEW-771,TRANSFO POWER INDUSTRIES,(PVT) LTD. 2 KM KATAR BUND ROAD THOKAR NIAZ BAIG,,"5420637, 5420653
www.transfopower.com",,ELECTRIC TRANSFORMERS,TRANSFORMERS
