Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-2972,A.A WOOLLEN MILLS,LTD. 27 KM. MULTAN ROAD,,,,WOOLLEN TEXTILE SPINNING /WEAVING,WOOLLEN YARN
NEW-2973,AHSAN WOOLLEN MILLS,BHOGIWAL BUND ROAD,,6815470,,WOOLLEN TEXTILE SPINNING /WEAVING,WOOLLEN YARN
NEW-2974,ANGORA WOOLLEN MILLS,(PVT) LTD. LAKHODAIR ROAD DAROGHAWALA,,,,WOOLLEN TEXTILE SPINNING /WEAVING,ACRYLIC YARN
NEW-2975,ARMY WELFARE WOOLLEN MILLS,"PLOT NO.40-41, KOT LAKHPAT",,"9230568, 5115467",,WOOLLEN TEXTILE SPINNING /WEAVING,CARPET YARN
NEW-2976,AYESHA WOOLLEN MILLS,LTD. 18.5 KM MULTAN ROAD,,"7511492, 6364104",,WOOLLEN TEXTILE SPINNING /WEAVING,WOOLLEN YARN
NEW-2977,AYYAZ WOOLLEN MILLS,BUND ROAD MAHMOOD BOOTI,,,,WOOLLEN TEXTILE SPINNING /WEAVING,WOOLLEN YARN
NEW-2978,CRESCENT WOOLLEN MILLS,LAJPAT NAGAR ROAD SHAHDARA,,,,WOOLLEN TEXTILE SPINNING /WEAVING,CARPET YARN
NEW-2979,FATEH WOOLLEN MILLS,(PVT) LTD. KATTAR BUND ROAD THOKER NIAZ BAIG,,7462122-23 5420280,,WOOLLEN TEXTILE SPINNING /WEAVING,WOOLLEN YARN
NEW-2980,FAYYAZ WOOLLEN INDUSTRIES,(PVT) LTD. BUND ROAD MEHMOOD BOOTI,,6861470,,WOOLLEN TEXTILE SPINNING /WEAVING,WOOLLEN YARN
NEW-2981,GHABA LTD.,16 KM MULTAN ROAD,,,,WOOLLEN TEXTILE SPINNING /WEAVING,WOOLLEN YARN
NEW-2982,GUARDIC WOOLLEN MILLS,LTD. AL-FAISAL TOWN BAHAR SHAH ROAD,,6662102,,WOOLLEN TEXTILE SPINNING /WEAVING,WOOLLEN YARN
NEW-2983,HABIB WOOLLEN MILLS,"LTD., 161  INDUSTRIAL AREA KOT LAKHPAT",,0300-4594597,,WOOLLEN TEXTILE SPINNING /WEAVING,CARPET YARN
NEW-2984,IBRAHIM SPINNERS (PVT)LTD 30 KM JULKEY FEROZEPUR ROAD,,,"7241756, 5271602",,WOOLLEN TEXTILE SPINNING /WEAVING,ACRYLIC YARN
NEW-2985,IQBAL WOOLLEN MILLS,178 INDUSTRIAL ESTATE KOT LAKHPAT,,,,WOOLLEN TEXTILE SPINNING /WEAVING,WOOLLEN YARN
NEW-2986,KHYBER SPINNING CO. PVT.,"LTD. 16 KM., FEROZEPUR ROAD",,5820366,,WOOLLEN TEXTILE SPINNING /WEAVING,KNITTING YARN
NEW-2987,MAQBOOL WOOLLEN MILLS,(PVT) LTD. BARADARI ROAD SHAHDARA,,"7933867, 6360385",,WOOLLEN TEXTILE SPINNING /WEAVING,WOOLLEN YARN
NEW-2988,NAFEES WOOLLEN MILLS,70-INDUSTRIAL ESTATE KOT LAKHPAT,,,,WOOLLEN TEXTILE SPINNING /WEAVING,WOOLLEN YARN
NEW-2989,NIAZ WOOL INDUSTRY BUND ROAD MEHMOOD BOOTI,,,6865077,,WOOLLEN TEXTILE SPINNING /WEAVING,WOOLLEN YARN
NEW-2990,PAK PUNJAB WOOLLEN MILLS,LTD. 18 KM. MULTAN ROAD,,,,WOOLLEN TEXTILE SPINNING /WEAVING,WOOLLEN YARN
NEW-2991,SIDDIQUE WOOLLEN MILLS,"NEAR AMRITSAR CHUNGI 15KM G.T.RD,NAIABADI MOMINPURA",,6891968,,WOOLLEN TEXTILE SPINNING /WEAVING,WOOLLEN YARN
