Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-2152,LUCKY TRADERS 208,BUND ROAD,,7568537,,POLY PROPYLENE BAGS,POLY PROPYLENE BAGS
NEW-2153,MUSTAJAB INDUSTRIES,"(PVT.) LTD., 24 KM OFF FEROZEPUR ROAD",,"5270016, 5271975",,POLY PROPYLENE BAGS,POLY PROPYLENE BAGS
NEW-2154,POLY SACK PVT.,"LTD. 132/3, INDUSTRIAL ESTATE KOT LAKHPAT",,35111361 35117800,,POLY PROPYLENE BAGS,POLY PROPYLENE BAGS
NEW-2155,PUNJAB POLYPROPYLENE IND. (PVT) LTD.,", 28 KM., MULTAN ROAD",,"6665557, 6652227,
6664698",,POLY PROPYLENE BAGS,POLY PROPYLENE BAGS
NEW-2156,CITI POLLY PACK,"86 ALAMA IQBAL ROAD,  GARHI SHAHU",,111-001-786,,POLYTHENE BAGS,POLYTHENE BAGS
NEW-2157,HAMDARD PLASTIC INDUSTRIES,", SIDDIQPURA, BADAMI BAGH",,7651865,,POLYTHENE BAGS,POLYTHENE BAGS
NEW-2158,HASSAN FAISAL INDUSTRIES,,,5273067,,POLYTHENE BAGS,POLYTHENE BAGS
NEW-2159,IRSHAD SAEED PACKAGING,"18 KM DEFENCE ROAD, RAIWIND ROAD",,5321096,,POLYTHENE BAGS,POLYTHENE BAGS
NEW-2160,JAVED INTERNATIONAL (PVT) LTD,TIMBER MARKET,,,,POLYTHENE BAGS,POLYTHENE BAGS
NEW-2161,MASOOD PLASTIC BUND ROAD,,,7311555,,POLYTHENE BAGS,POLYTHENE BAGS
NEW-2162,N.N. PLASTIC 38-KM MULTAN ROAD MANGA MANDI,,,5384291,,POLYTHENE BAGS,POLYTHENE BAGS
NEW-2163,NAEEM PACKGES,"G.T. ROAD, DHOBI GHAT",,7311809,,POLYTHENE BAGS,POLYTHENE BAGS
NEW-2164,OSPREY INTERNATIONAL (PVT) LTD.,", 20KM FEROZEPUR , ROAD",,"6361057, 6372120",,POLYTHENE BAGS,POLYTHENE BAGS
NEW-2165,PACK TECH (PVT) LTD,", 138 MAIN INDUSTRIAL ESTATE, KOT LAKHPHAT",,5153555,,POLYTHENE BAGS,GRAVE WRAPPER
NEW-2166,PACKAGES LTD.,( POLYTHENE SECTION) P.O. AMERSIDHU SHAHRAH-E-ROOMI,,5811541-46,,POLYTHENE BAGS,POLYTHENE BAGS
NEW-2167,PLASTIC BAGS PACKAGING (PVT)LTD. BLOCK J.GULSHAN-E-RAVI BUND ROAD,,,"7462611, 7466777",,POLYTHENE BAGS,POLYTHENE BAGS
NEW-2168,POLO ENTERPRISES,"PLOT NO.37, INDUSTRIAL AREA KOT LAKHPAT",,"5115276, 5153121",,POLYTHENE BAGS,POLYTHENE BAGS
NEW-2169,POLY PACK (PVT) LTD.,89-INDUSTRIAL AREA PINDI STOP K.L.P.,,,,POLYTHENE BAGS,POLYTHENE BAGS
NEW-2170,POLYCON PAKISTAN (PVT) LTD,RAKH CHABEEL KOT DHENI CHAND,,"6662435, 6670205",,POLYTHENE BAGS,POLYTHENE BAGS
NEW-2171,PUNJAB POLY PROPYLENE (PVT) LTD.,", BATAPUR",,6581453-2,,POLYTHENE BAGS,POLYTHENE BAGS
NEW-2172,RAVI PLASTIC INDUSTRIES,"(PVT) LTD., USMAN STREET, OPP: CHOHAN ROAD BUS STOP BUND ROAD",,7232121,,POLYTHENE BAGS,POLYTHENE BAGS
NEW-2173,RUBANI PLASTIC H.NO.62,"ST.NO.18, MIRAJ PARK MASOOM SHAH, ROAD, BADAMI BAGH",,0300-4207722,,POLYTHENE BAGS,POLYTHENE BAGS
NEW-2174,SHAHID INDUSTRIES,", 21-KM, BADIAN ROAD, FEROZEPUR ROAD",,7674555,,POLYTHENE BAGS,POLYTHENE BAGS
NEW-2175,SHAHZADA INDUSTRIES,"3KM ROHI NALLAH, 22KM OFF. FEROZEPUR ROAD",,5868784,,POLYTHENE BAGS,POLYTHENE BAGS
NEW-2176,SHARJA PLASTIC BUND ROAD,,,7115035,,POLYTHENE BAGS,POLYTHENE BAGS
NEW-2177,TULIP POLLY BAGH IND. (PVT) LTD,DEFNCE ROAD,,"7540561, 7540738",,POLYTHENE BAGS,POLYTHENE BAGS
NEW-2178,WAQAR PLASTIC,"KOT KAMBOH, KHURD, BAKARMANDI, BUND ROAD",,7565941,,POLYTHENE BAGS,POLYTHENE BAGS
NEW-2179,WIFT PAPER & CHEMICAL (PVT) LTD.,", KM. KATTAR BUND ROAD",,5423782,,POLYTHENE BAGS,POLYTHENE BAGS
