Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-1663,FAISAL LEATHER WORKS G.T.ROAD BATAPUR,,,6580343,,LEATHER GARMENTS,LEATHER GLOVES
NEW-1664,H-U. LEATHER 131/1,INDUSTRIAL AREA KOT LAKHPAT,,5122137-8,,LEATHER GARMENTS,LEATHER JACKETS
NEW-1665,IJAZ ENTERPRISES,"(PVT) LTD., 17-KM G.T., ROAD, BAGH WALI PULLI BATAPUR",,6557603-5,,LEATHER GARMENTS,LEATHER GLOVES
NEW-1666,VOHRA ASIAN LEATHER CRAFTS (PVT) LTD,", 18 KM FEROZEPUR ROAD",,"5812742-5812743
www.valc.biz",,LEATHER GARMENTS,LEATHER GARMENTS
NEW-2198,A.G.G KNIT WEAR (PVT) LTD.,",            21 K.M. FEROZEPUR ROAD",,5270111,,READYMADE GARMENTS,KNITTED GARMENTS
NEW-2199,A.M. GARMENTS 81.J. BLOCK GULSHAN-E-RAVI,,,7412317,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2200,A.R.C. KNITWEAR (PVT) LTD,18-KM FEROZEPUR ROAD,,5823046-47,,READYMADE GARMENTS,KNITTED GARMENTS
NEW-2201,ABDULLAH FABRIC (PVT) LTD.,134-5 PECO ROAD KOT LAKHPAT,,,,READYMADE GARMENTS,KNITTED GARMENTS
NEW-2202,ABID HANIS MUGHAL PARK BUND ROAD,,,7247348,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2203,ACTIVE APPAREL ROHI NALA 21-KM FEROZEPUR ROAD,,,5717891,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2204,AHMAD TECH. PLOT NO.248 INDUSTRIAL ESTATE KOT LAKHPAT,,,5115186,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2205,AJMAL HOSIERY BUND ROAD,,,0333-4252707,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2206,AKBAR ENTERPRISES,"(PVT) LTD., PLOT NO.128/4 INDUSTRIAL ESTATE KOT LAKHPAT",,5117668,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2207,AL KHAS STITCHING DARS ROAD MUGHALPURA,,,,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2208,AL-ASHAR KNITWEAR 20 KM.,MAIN FEROZEPUR ROAD,,5273625,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2209,AL-ASHRAF KNITWEAR 20 KM FEROZEPUR ROAD,,,5270010,,READYMADE GARMENTS,KNITTED GARMENTS
NEW-2210,AL-FATAH EXPORTERS 204-S INDUSTRIAL AREA KOT LAKHPAT,,,5140691-92,,READYMADE GARMENTS,READYMADE GARMENTS
