Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-1955,A.R. CHEMICAL 92-S,KOT LAKHPAT,,841347,,PAINTS AND VARNISHES,PAINTS
NEW-1956,ADEEL PAINTS MUGHALPURA,BUND ROAD,,7353449,,PAINTS AND VARNISHES,PAINTS
NEW-1957,ALLIED PAINT INDUSTRIES,(PVT) LTD. 18-KM RAIWIND ROAD,,5330106,,PAINTS AND VARNISHES,PAINTS
NEW-1958,ALLIED PAINT INDUSTRIES,22-MAIN BAZAR SANDA KALAN,,7354838,,PAINTS AND VARNISHES,PAINTS
NEW-1959,ANJUM PAINT INDUTRIES MUGHAL PARK BUND ROAD,,,7148314,,PAINTS AND VARNISHES,PAINTS
NEW-1960,ANWAR PAINTS CHEMICALS INDUSTRIES,", GULSHAN-E-RAVI CHOWK NEAR DOUBLE SARKAN, MAIN BUND ROAD,",,37466611,,PAINTS AND VARNISHES,PAINT
NEW-1961,ASIA PAINT INDUSTRIES,ABUBAKAR SIDDIQUE COLONY BUND ROAD,,7415090,,PAINTS AND VARNISHES,PAINTS
NEW-1962,AWAIS PAINT FACTORY,79J BLOCK GULSHAN-E-RAVI BUND ROAD,,7565678,,PAINTS AND VARNISHES,PAINTS
NEW-1963,B & B PAINT INDUSTRIES,OPP. NEW KHAN BUS STAND BUND ROAD,,7468182,,PAINTS AND VARNISHES,PAINTS
NEW-1964,BERGER PAINTS PAKISTAN LTD.,", 28-KM., MULTAN ROAD,",,37543445-49,,PAINTS AND VARNISHES,PAINT
NEW-1965,BRIGHTO INDUSTRIES,(PVT) LTD. 8-KM RAIWIND ROAD,,5320848,,PAINTS AND VARNISHES,PAINTS
NEW-1966,BRIGHTO PAINT (PVT) LTD.,", MAJID STREET MALIK PARK BARADARI ROAD SHAHDARA",,7928274-6,,PAINTS AND VARNISHES,PAINTS
NEW-1967,BROLAC PAINTS 52/1,MAIN GHAZI ROAD LAHORE,,5820076,,PAINTS AND VARNISHES,PAINTS
NEW-1968,BUTT PAINTS INDUSTRIES,GULSHAN-E-RAVI NEAR AJMAL HOSIERY BUND ROAD,,7646283,,PAINTS AND VARNISHES,PAINTS
NEW-1969,CHAMPION PAINT INDUSTRIES,(PVT) LTD. HANJARWAL MULTAN ROAD,,5420260,,PAINTS AND VARNISHES,PAINTS
NEW-1970,CROWN COLOUR COUTING,KACCHA DEFENCE ROAD,,5270386,,PAINTS AND VARNISHES,PAINTS
NEW-1971,DAWN COATING INDUSTRIES,", 19-KM., MULTAN ROAD, MUZAMIIL TOWN, RANA MUHAMMAD AMIN ROAD, CHUNGH",,37515321-22,,PAINTS AND VARNISHES,PAINT
NEW-1972,DAWN COATING INDUSTRY 8-A,"HASHMI STREET, MUGHAL PARK BUND ROAD,",,7356972,,PAINTS AND VARNISHES,PAINTS
NEW-1973,EAGLE CHEMICAL INDUTRIES SIRAJ PARK MOMINPURA ROAD DAROGHAWALA/,,,6451375,,PAINTS AND VARNISHES,PAINTS
NEW-1974,ELEVEN PAINTS INDUSTRY CROWN PARK BAGHBANPURA,G.T. ROAD,,6811026,,PAINTS AND VARNISHES,PAINTS
NEW-1975,HILAL COATINGS,"BUND ROAD, NAIN SUKH SAGGAIN",,37150396,,PAINTS AND VARNISHES,PAINT
NEW-1976,ICI PAKISTAN LIMITED,PAINTS BUSINESS 346 FEROZEPUR ROAD,,111551111,,PAINTS AND VARNISHES,PAINTS
NEW-1977,IMPERIAL INDUSTRIES,"UMER TOWN, SHERA KOT BUND ROAD",,7415496,,PAINTS AND VARNISHES,PAINTS
NEW-1978,JUGNOO CHEMICAL INDUSTRY  QURESHI STREET BUND ROAD,SANDA,,7145761,,PAINTS AND VARNISHES,PAINTS
NEW-1979,KAMRAN PAINTS CHOHAN ROAD,BUND ROAD,,7113649,,PAINTS AND VARNISHES,PAINTS
NEW-1980,KANSAI PAINTS 401-402 SUNDAR INDUSTRIAL ESTATE,,,5694151,,PAINTS AND VARNISHES,PAINTS
NEW-1981,M. JAZERA PAINTS 296-D OUT FALL ROAD,,,7116613,,PAINTS AND VARNISHES,PAINTS
NEW-1982,MAJID COATING BHOGIWAL ROAD,,,6871204,,PAINTS AND VARNISHES,PAINTS
NEW-1983,MARBLE PAINT INDUSTRIES,OPP: MUNSHI HOSPITAL,,7223190,,PAINTS AND VARNISHES,PAINTS
NEW-1984,MARREL PAINT INDUSTRIES,5-ALI ST. MUGHAL PARK BUND ROAD,,7116368,,PAINTS AND VARNISHES,PAINTS
NEW-1985,MASTER PAINT INDUSTRIES,SULTAN MEHMOOD ROAD SHALIMAR TOWN,,6549320,,PAINTS AND VARNISHES,"SYNTHETIC ENAMEL, EMULSION PAINTS, VINYL"
NEW-1986,MILLAT INDUSTRIES,PECO ROAD PINDI STOP KOT LAKHPAT,,5869705,,PAINTS AND VARNISHES,PAINTS
NEW-1987,MYCO PAINTS PVT.,LTD. 1 KAMAL GUNJ,,,,PAINTS AND VARNISHES,PAINTS
NEW-1988,NORSEN CHEMICAL INDUSTRIES,"112/9, INDUSTRIAL AREA, TOWNSHIP",,5113861,,PAINTS AND VARNISHES,PAINTS
NEW-1989,PAK PAINT MILLS,(PVT) LTD. SHAHDARA MORE SHAHDARA,,,,PAINTS AND VARNISHES,PAINTS
NEW-1990,PEARL PAINT & CHEMICAL INDUSTRIES,"DEFENCE ROAD, 1 K.M OFF BHOPTIAN CHOWK, RAIWIND, ROAD",,5320054-5,,PAINTS AND VARNISHES,PAINTS
NEW-1991,QADEER PAINTS SHER SHAH ROAD,BADAMI BAGH,,0345-4176542,,PAINTS AND VARNISHES,PAINTS
NEW-1992,QASIM PAINT INDUSTRIY MUGHAL PARK,"SAGGIAN BRIDGE, BUND ROAD",,7116038,,PAINTS AND VARNISHES,PAINTS
NEW-1993,R. INDUSTRIES,PAKISTAN NEAR NEW KHAN BUS STAND BUND ROAD,,7400435-6,,PAINTS AND VARNISHES,PAINTS
NEW-1994,RAFIQUE POLYMER INDUSTRIES,", 18-KM., MULTAN ROAD,",,,,PAINTS AND VARNISHES,PAINT
NEW-1995,RAINBOW CHEMICALS (PVT) LTD.,"20. KM., FEROZEPUR ROAD",,5271463,,PAINTS AND VARNISHES,PAINTS
NEW-1996,RIAZ PAINT FACTORY,STEEL MILL STOP BUND ROAD,,7412472,,PAINTS AND VARNISHES,PAINTS
NEW-1997,ROYAL PAINT INDUSTRIES,SHAHDARA MORE,,7924979,,PAINTS AND VARNISHES,PAINTS
NEW-1998,S.S. ENTERPRISES,"KATAR BUND ROAD, THOKAR NIAZ BAIG",,,,PAINTS AND VARNISHES,PAINTS
NEW-1999,SARTAJ VARNISHES BUND ROAD,MAHMOOD BOOTI,,,,PAINTS AND VARNISHES,PAINTS
NEW-2000,SETHI PAINT INDUSTIRES 70-J,ESTATE GULSHAN RAVI,,7465578,,PAINTS AND VARNISHES,PAINTS
NEW-2001,STAR CO. PAINT MUGHAL,,,7145735,,PAINTS AND VARNISHES,PAINTS
NEW-2002,TAERRACO PAKISTAN (PVT) LTD.,260 SUNDAR INDUSTRIAL ESTATE,,5297055-8,,PAINTS AND VARNISHES,PAINTS
NEW-2003,U.P. INDUSTRIES,(PVT) LTD. HASSAN TOWN MULTAN ROAD,,5420435,,PAINTS AND VARNISHES,PAINTS
NEW-2004,V.P. INDUSTRIES,BHOGIWAL LINK BUND ROAD LAHORE,,36864748,,PAINTS AND VARNISHES,PAINTS
NEW-2005,WE POLYMERS,540-C SUNDAR INDUSTRIAL ESTATE,,5883523-4,,PAINTS AND VARNISHES,VARNISH
