Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-599,ALBRO MEG. PHARM. CHEMISTS 340-S INDUSTRIAL ESTATE KOT LAKHPAT,,,5151649,,DRUGS & PHARMACEUTICALS,"TABLETS, SYRUP"
NEW-600,ALCO CHEMICAL LTD.,20 KM FEROZEPUR ROAD,,,,DRUGS & PHARMACEUTICALS,POWDER
NEW-601,ALI INDUSTRIES,", 239-C SUNDAR INDUSTRIAL ESTATE",,35752457,,DRUGS & PHARMACEUTICALS,"TABLETS, CAPSULES, SYRUPS"
NEW-602,ANEEB PHARMACEUTICAL (PVT.) LTD.,", 24-K.M BADIAN ROAD CANTT.",,35601407-8,,DRUGS & PHARMACEUTICALS,SYRUP TABLETS CAPSULES
NEW-603,B.I. DRUG CO. TAKIA IMLIWALA,MOGHALPURA,,6811485,,DRUGS & PHARMACEUTICALS,TABLETS
NEW-604,BENTLAY PHARMACEUTICALS (PVT) LTD.,8TH KM. RAIWIND ROAD,,5321188,,DRUGS & PHARMACEUTICALS,"TABLETS, SYRUP"
NEW-605,CARE PHARMACEUTICALS (PVT) LTD.,SARDAR TOWN 8-KM RAIWIND ROAD,,5322661,,DRUGS & PHARMACEUTICALS,"TABLETS,     CAPSULES, SYRUPS,"
NEW-606,CAYLE PHAMACETICAL (PVT) LTD.,", 27-KM FEROZEPUR ROAD",,5330039,,DRUGS & PHARMACEUTICALS,"TABLETS, CAPSULES"
NEW-607,CCL PHARMA (PVT) LTD.,62-INDUSTRIAL ESTATE KOT LAKHPAT,,"5114753 5114541
5713625,
www.cclpharma.com",,DRUGS & PHARMACEUTICALS,"TABLETS, SYRUPS, CAPSULES"
NEW-608,CEICIL LABORTARIES (PVT) LTD.,21 KM. FEROZEPUR ROAD,,5821818,,DRUGS & PHARMACEUTICALS,INJECTIONS
NEW-609,CHERISHED PHARMA (PVT) LTD.,10 KM SUNDER RAIWIND ROAD,,,,DRUGS & PHARMACEUTICALS,TABLETS / CAPSULS
NEW-610,DON VALLEY PHARMACEUTICALS (PVT) LTD.,39-MAIN PECO ROAD KOT LAKHPAT,,5753994 5274600,,DRUGS & PHARMACEUTICALS,"SYRUPS, TABLETS"
NEW-611,DYSON RESEARCH LABORATORIES (PVT) LTD.,59-U AIBAK BLOCK GARDEN TOWN,,0300-8495863,,DRUGS & PHARMACEUTICALS,"TABLETS,      SYRUPS"
NEW-612,ELIXIER LAB. 26 INDUSTRIAL AREA KOT LAKHPAT,,,,,DRUGS & PHARMACEUTICALS,TABLETS
NEW-613,ENGLISH PHARMACEUTICAL INDUSTRIES,"LINK KATAR, BUND ROAD THOKAR NIAZ BAIG",,5410395,,DRUGS & PHARMACEUTICALS,"SYRUPS, TABLETS"
NEW-614,ETHICAL LABORATORIES PVT.,LTD. KATAR BUND ROAD THOKAR NIAZ BAIG MULTAN ROAD,,"5221460, 5111465",,DRUGS & PHARMACEUTICALS,"SYRUPS, TABLETS, CAPSULES"
NEW-615,FARMIGEA PAKISTAN (PVT) LTD.,4.5-KM RAIWIND-MANGA ROAD,,5392978,,DRUGS & PHARMACEUTICALS,EYE DROPS
NEW-616,FEROZA INTERNATIONAL (PVT) LTD.,32 KM. FEROZEPUR ROAD,,5271141-2,,DRUGS & PHARMACEUTICALS,"SYRUPS, TABLETS"
NEW-617,FESTEL LABORATORIES KATAR BUND ROAD,,,5420919,,DRUGS & PHARMACEUTICALS,TABLETS
NEW-618,GLAXO SMITH KLINE  PAKISTAN LTD.,18.5 KM FEROZEPUR ROAD,,5811931-35,,DRUGS & PHARMACEUTICALS,"INJECTABLES, ORALS, VETERINARY"
NEW-619,GUYTON PHARMACEUTICALS (PVT) LTD.,25.2-KM RAIWIND ROAD,,5321070,,DRUGS & PHARMACEUTICALS,"TABLETS, CAPSULES"
NEW-620,HAMDARD LAB. (WAQAF),163-INDUSTRIAL. ESTATE  KOT LAKHPAT,,5121743,,DRUGS & PHARMACEUTICALS,SYRUPS
NEW-621,HANSEL PHARMACEUTICALS (PVT) LTD.,"30 KM., MULTAN ROAD",,7542112-5,,DRUGS & PHARMACEUTICALS,"TABLETS , CAPSULES, DRY POWDER"
NEW-622,HARMANN PHARMACEUTICAL LABORATORIES 17 KM.,MULTAN ROAD,,7510778,,DRUGS & PHARMACEUTICALS,"TABLETS,  OINTMENT, INJECTIONS"
NEW-623,HASSAN PHARMA,590-SUNDAR INDUSTRIAL ESTATE,,5161929,,DRUGS & PHARMACEUTICALS,"TABLETS , CAPSULES, SYRUP"
