Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-2485,CARGILL PAKISTAN SEEDS (PVT) LTD,16-KM MULTAN ROAD,,"7588330, 7576522",,SEED PROCESSING,SEED PROCESSING
NEW-2486,MONNOO SEEDS (PVT) LTD.,109-INDUSTRIAL. AREA KOT LAKHPAT,,5156349,,SEED PROCESSING,"WHEAT SEED, RICE SEED, COTTON SEED"
NEW-2552,A.S. DYEING WORKS MAQBARA MORE  SHAHDARA,,,"7920899, 7930680",,TEXTILE PROCESSING,DYED CLOTH
NEW-2553,ABBAS DYEING & WINDING WORKS 76/S,INDUSTRIAL. AREA KOT LAKHPAT,,,,TEXTILE PROCESSING,CONE DYEING
NEW-2554,ABDULLAH DYEING INDUSTRIES,"GAMAN COLONY, SHAHDARA",,"7922014, 7929539",,TEXTILE PROCESSING,DYED CLOTH
NEW-2555,AKRAM DYEING & PROCESSING MUGHAL PARK SAGGIAN BRIDGE,,,7351055,,TEXTILE PROCESSING,PROCESSED CLOTH
NEW-2556,AKRAM DYEING RASHID ROAD,"KHOKHAR TOWN, CH. PARK",,7722988,,TEXTILE PROCESSING,PROCESSED CLOTH
NEW-2557,AL AMIN DYEING INDUSTRIES,(PVT) LTD. 51 RAVI ROAD,,7725881,,TEXTILE PROCESSING,PROCESSED CLOTH
NEW-2558,AL FATEH TRADERS COLLEGE ROAD SHALIMAR TOWN,,,,,TEXTILE PROCESSING,DYED CLOTH
NEW-2559,AL HABIB DYEING INDUSTRY DATA NAGAR BADAMIBAGH,,,728359-3,,TEXTILE PROCESSING,DYED CLOTH
NEW-2560,"AL HAMEED HOSIERY & TEXTILE, PROCESSING INDUSTRIES",", SHAHDARA",,"7921394, 7923411",,TEXTILE PROCESSING,DYED CLOTH
NEW-2561,AL HAMRA INDUSTRIES,(PVT) LTD. 13-ZARFISHAN STREET RAVI ROAD,,200468,,TEXTILE PROCESSING,DYED CLOTH
NEW-2562,AL KAMAL CALENDERING 3-ZARFANHAN 0300-4511250,,,"0300-
4511250",,TEXTILE PROCESSING,DYED CLOTH
NEW-2563,AL TAHIR DYEING WORKS SHAH KAMAL ROAD,"ST.NO.10, MUGHALPURA, LHR.",,6815435,,TEXTILE PROCESSING,DYED CLOTH
NEW-2564,AL-ASIF DYEING 13 ZARFISHAN RAVI ROAD,,,7704418,,TEXTILE PROCESSING,PROCESSED CLOTH
NEW-2565,AL-HABIB DYEING DATA NAGAR BADAMIBAGH,,,"7281848, 7261848",,TEXTILE PROCESSING,DYED CLOTH
NEW-2566,AL-HAMRA HOSIERY AND TEXTILE MILLS,(PVT) LTD. 6 KM SHEIKHUPURA ROAD JIA MUSA,,"7921449, 7928570-1",,TEXTILE PROCESSING,FINISHED CLOTH
NEW-2567,AL-JAMIL DYEING & FINISHING MILLS,(PVT) LTD. JIA MUSA SHAHDARA,,7920896-7,,TEXTILE PROCESSING,DYED CLOTH
NEW-2568,AL-RAHBAR AND FINISHING INDUSTRY,SHEIKHUPURA ROAD JIAMUSA,,7926078,,TEXTILE PROCESSING,FINISHED CLOTH
NEW-2569,AL-RIZWAN DYEING,25 NO. STOP NEAR WASA DISPOSAL JIAMUSA SHAHDARA,,7931928,,TEXTILE PROCESSING,PROCESSED CLOTH
NEW-2570,AMIN DYEING CHOWK DABA PIR,PIR GHAZI OPP. RAILWAY STEEL SHOP LALPUL MUGHALPURA,,6551096,,TEXTILE PROCESSING,DYED CLOTH
NEW-2571,AMIN DYEING PROCESSING CHANDNI CHOWK SANDA KALAN,,,7351050,,TEXTILE PROCESSING,PROCESSED CLOTH
NEW-2572,AROOJ GARMENTS ACCESSORIES LTD,",ARUJ HOUSE, 1 KM RAIWIND ROAD",,5393125,,TEXTILE PROCESSING,PROCESSED CLOTH
NEW-2573,ASMY DYEING & PRINTING MILL 68-INDUSTRIAL. ESTATE KOT LAKHPAT,,,"5110963, 7670067",,TEXTILE PROCESSING,DYED CLOTH
NEW-2574,ASMY DYEING & PRINTING MILLS,(PVT) LTD. 68 INDUSTRIAL ESTAE KOT LAKHPAT,,,,TEXTILE PROCESSING,DYED CLOTH
NEW-2575,ATTA SONS,,,"7920899, 7930680",,TEXTILE PROCESSING,BLEACHED CLOTH
NEW-2576,AWAN DYEING (PVT) LTD.,", 4/7 MAIN MULTAN ROAD, RAVI BLOCK, ALLAMA IQBAL TOWN",,"7843800, 7443591",,TEXTILE PROCESSING,DYED CLOTH
NEW-2577,AZAM SILK MILLS,(PVT) LTD. 64 INDUSTRIAL AREA KOT LAKHPAT,,"5118230, 5121863-4",,TEXTILE PROCESSING,DYED CLOTH
NEW-2578,BAHOO DYEING INDUSRIES (PVT) LTD.,", BARA DARI ROAD, FAKHARBAD SHAHDARA",,7923850,,TEXTILE PROCESSING,DYED CLOTH
NEW-2579,BAIG TEXTILE MILLS,(PVT) LTD. OLD G.T. ROAD SHAHDARA,,"7933731-4, 7933731",,TEXTILE PROCESSING,FINISHED CLOTH
NEW-2580,BRIGHT INDUSTIRIES (PVT) LTD,", PLOT NO.121/1, INDUSTRIAL. AREA, KOT LAKHPAT",,"5122708, 5187707",,TEXTILE PROCESSING,PROCESSED CLOTH
NEW-2581,BROTHER DYEING 7.5 KM SHEIKHUPURA ROAD,SHAHDARA,,7929208,,TEXTILE PROCESSING,DYED CLOTH
NEW-2582,CAPRI INDUSTRIES,"23 KM., FEROZEPUR ROAD",,5271488,,TEXTILE PROCESSING,DYED CLOTH
NEW-2583,CH: DYEING 22-KM FEROZEPUR ROAD,,,"5270766, 5271365",,TEXTILE PROCESSING,DYED CLOTH
NEW-2584,CHAMAN PROCESSING INDUSTRIES,"98-INDUSTRIAL. AREA, KOT LAKHPAT",,"5114449, 5118541",,TEXTILE PROCESSING,PROCESSED CLOTH
NEW-2585,CHIEF DYEING PRINTING MILLS,(PVT) LTD. 13 BARADARI ROAD SHAHDARA,,7922776,,TEXTILE PROCESSING,DYED CLOTH
NEW-2586,CHINA DYEING INDUSTRIES,(PVT) LTD. SHEIKHUPURA ROAD SHAHDARA,,7928743-4,,TEXTILE PROCESSING,DYED CLOTH
