Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
,AWAMI HARDWARE STORE,"LINK REHMAN GALI NO.2 NISHTAR ROAD, LAHORE",,042-37651116,,Building material and services,
,Royal Consultants,"FF 787 Deans Trade Center Peshawar, KPK",,+92-91-6008786,,Other service activities,
,"""ARISTO"" THE CREATORS","HOUSE # 2 - B, KAGHAN R OAD F -8/4, ISLAMABAD",,+92 51 - 4575681,,Other service activities,
,101 AMUSEMENT SERVICES INTERNATIONAL,"FUNCITY 4TH FLOOR, CENTAURUS, PLOT # 1, F-8 BLUE AREA, ISLAMABAD.",,+92 51-8319621,,Other service activities,
,24 HOURS.PK,"Shaes Center, First Floor, Gulshan block 13-C KARACHI",,03341323074,,Information Technology and Communication industry,
,3 Star Traders,"House no. 621 Block E-1 Johar Town, Lahore.",,0000000000,,Knitwear (hosiery) industry,
,360 TECHNOLOGIES (PVT) LTD,"3RD FLOOR, 16-D, SAFDAR MANSION,FAZAL-E-HAQ RD. BLUE AREA, ISLAMABAD.",,+92 51- 2275360,,Other service activities,
,3D ENGINEERING SERVICES,"92-A-GARDEN BLOCK, GARDEN TOWN, LAHORE",,+92 5847267,,Other service activities,
,3G TECHNOLOGIES (GUARANTEE) LTD,"HOUSE # 2, STREET # 23, F-7/2, ISLAMABAD.",,"+92 51-2609324,",,Other service activities,
,3SC TECHNOLOGIES (PVT) LTD,"BUILDING # 146,CIVIC CENTRE,BLOCK -C,PHASE -IV, BAHRIA T OWN, ISLAMABAD",,+92 51 - 5734185,,Other service activities,
,3W FIRE PROTECTIONS (PVT) LTD,"#468, STREET # 23,BLOCK - B, SECTOR B -17,MULTI GARDEN MARGALA,G. T.RD.ISLAMABAD.",,+92 51 - 3000258,,Other service activities,
,3W SYSTEMS (PVT) LTD,"HOUSE # 112, STREET # 27, I-9/1, ISLAMABAD.",,+92 51- 4435860,,Other service activities,
,4-A PACKAGES,"557-A, SMALL INDUSTRY ESTATE, SARGODHA ROAD, FAISALABAD.",,+92 41-8810393,,Other service activities,
,4M SPORTS,MAIN ANAM ROAD GLAXO TOWN 19-KM FEROZEPUR ROAD LAHORE,,+92 42 5276172,,Manufacturing Industry,
,4U TRADE AND SERVE,"OFF.# M -11 MEZZ.FLOOR, GULIS TAN KHAN HOUSE,82 -E BLUE ARE A, ISLAMABAD .",,+92 51 -2802340,,Other service activities,
,7 HOT FIBER GLASS,"STREET NO 03, YASEEN PURA, NEAR TALL TAX CHOWK, SATIANA ROAD, FAISALABAD",,+92 41-8542040,,Consumer Products,
,786.COM,"SHAMS COLONY, GOLRA MORE PESHAWAR ROAD, H-13, ISLAMABAD.",,+92 51- 2315186,,Other service activities,
,A & K BUILDERS & DEVELOPERS,"OFF.9, 1ST FLOOR, A & K PLAZA, 7-E, F-10 MARKAZ, ISLAMABAD.",,"+92 51- 2299465,",,Other service activities,
,A & N WORLDWIDE (PVT) LIMITED.,"A&N TOWER P-110, CIRCULAR ROAD OPPOSITE MCB BANK SQUARE, FAISALABAD",,+92 41-2624000,,Other service activities,
,A & R EXPORTS,"P-136 TIPU SHAHEED ROAD SOHAILABAD, BATALA COLONY FAISALABAD",,"+92 41-8536859,8556684",,Shipping & Trading,
,A 2 Z METALS INTERNATIONAL,"1024-C CANAL VIEW, LAHORE",,+92 42 35886558,,Manufacturing Industry,
,A COM DISTRIBUTORS,"G-59, HAFEEZ CENTRE, GULBERG III, LAHORE",,+92 42 5714745,,Information Technology and Communication industry,
,A M Packages Industries,"KPEZDMC Estate Office, Hattar Industrial Estate, Hattar Haripur KPK.",,,,Packaging & Processing,
,A TO Z AGENCIES,"228-LDA HAZRAT KHAWAJA BEHARI ROAD,MIAN MIR PIND UPPER MALL LAHORE",,,,Trading Industry,
,A. AKRAM TRADING COMPANY,"36-B, MIAN MIR SHOPPING CENTRE,SADAR BAZAR, CANTT- LAHORE",,+92 42 7311924,,Trading Industry,
,A.A. COTTAGE INDUSTRIES,"HOUSE # 74, STREET # 42, -10/4, ISLAMABAD.",,+92 51- 2350212,,Other service activities,
