Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
,HASSAN TEXTILES MANUFACTURES,plot no.A-130 SITE super highway scheme #33 Karachi,,021-36881555,,Textile and apparel industry,
,RAZA APPARELS,"RAZA STREET , JHUMRA ROAD FAISALABAD",,+92 41-8750040-8750060,,Textile and apparel industry,
,SITARA TEXTILE INDUSTRIES LTD,6.K.M SARGODHA ROAD FAISALABAD,,+92 41-8847801-4,,Textile and apparel industry,
,4-A WEAVING FACTORY,"CHAK NO 67/JB, SADHAR JHANG ROAD, FAISALABAD",,+92 41-2519123,,Textile and apparel industry,
,A & A KNITTING,"P-6, GHOUSIA ABAD, MILLAT ROAD, FAISALABAD",,+92 41-2628565,,Textile and apparel industry,
,A.A TEXTILE PROCESSING INDUSTRIES,"SAMANA PULL, SARGODHA ROAD FAISALABAD",,"+92 41-8811787, 8811955",,Textile and apparel industry,
,A.B TEX,"CHAK NO.253/RB, JHANGEER KALAN, ADDA DALOWAL, SAMMUNDRI ROAD, FAISALABAD",,+92 41-2671121,,Textile and apparel industry,
,A.B. EXPORTS (PVT) LIMITED,"LASANI PULLI, NEAR KHAYBAN GARDEN YOUSAF CHOWK, SARGODHA ROAD, FAISALABAD",,+92 41-8817301-7,,Textile and apparel industry,
,A.G TEXTILE MILLS,"67 J.B,SADHAR, MAIN JHANG ROAD, FAISALABAD",,+92 41-2558545,,Textile and apparel industry,
,A.I.TEXTILES,"11-KM, JARANWALA ROAD FAISALABAD",,+92 41-8741541-45,,Textile and apparel industry,
,A.K.TAJ INTERNATIONAL,"INSIDE TAJ FLOUR MILLS (PVT) LTD,SARGODHA ROAD, FAISALABAD",,"+92 41-8789349,8849349",,Textile and apparel industry,
,A.M KNITWEAR,"117 J.B, MILLAT ROAD, NEAR PAHARANG DRAINAGE FAISALABAD",,"+92 41-8766948,8766964",,Textile and apparel industry,
,A.N TEXTILE MILLS,"22 KM,SAME NALA 77 GB,SATIANA ROAD, JARANWALA, DISTRICT FAISALABAD",,+92 41-4600785,,Textile and apparel industry,
,A.R.M WEAVING FACTORY,"CHAK NO 217, SULTAN TOWN, NARWALA ROAD, BY PASS, FAISALABAD",,"+92 41-670071 , 672519",,Textile and apparel industry,
,A.S TEXTILES,"CHAK # 77, 1.5 K.M JARRANWALA ROAD KHURRIANWALA FAISALABAD",,+92 41-4363399,,Textile and apparel industry,
,A.U.A IMPEX,"HOUSE NO. P-36-C, ABC ROAD LIAQAT TOWN FAISALABAD CHAK NO. 67 J.B SADHAR FAISALABAD",,"+92 41-2623145, 2519278",,Textile and apparel industry,
,A.Z APPAREL (PRIVATE) LIMITED,"CHAK NO 117 J.B, NEAR PAHARANG DRAINAGE, MILLAT ROAD,DHANOLA FAISALABAD",,"+92 41-8768102,8768103",,Textile and apparel industry,
,AALA PROCESSING INDUSTRIES (PVT) LIMITED,"5-KM, SATIANA ROAD, FAISALABAD TEL :",,+92 41-8727321-23,,Textile and apparel industry,
,AAMER HOSIERY,"P-335, STREET # 6 LIAQATABAD # 1 FAISALABAD",,+92 41-2650154,,Textile and apparel industry,
,AAMIR SALEEM WEAVING FACTORY,"LIAQAT ABAD NO 1, STREET NO 6, JHANG ROAD, FAISALABAD",,+92 41-2651395,,Textile and apparel industry,
