Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-446,ATTOCK PAPER BOARD MILLS,NABI BUKHSH PARK SHADBAGH,,7281392,,CHIP / STRAW BOARD,STRAW BOARD
NEW-447,GULF WOOD INDUSTRIES,(PVT) LTD. 3-KM MANGA ROAD RAIWIND,,5352423,,CHIP / STRAW BOARD,CHIP BOARD
NEW-448,KARACHI PLYWOOD INDUSTRIES,(PVT) LTD. 25-KM MULTAN ROAD,,7540037-38,,CHIP / STRAW BOARD,PLYWOOD
NEW-449,LAHORE PLYWOOD INDUSTRIES,(PVT) LTD. 25 KM MULTAN ROAD,,"7589313, 544037",,CHIP / STRAW BOARD,PLYWOOD
NEW-450,LAMIPACK INDUSTRIES,(PVT) LTD. 113/11-INDUSTRIAL. ESTATE KOT LAKHPAT,,5153013,,CHIP / STRAW BOARD,CHIP BOARD
NEW-451,PAKISTAN PANNEL PRODUCTS (PVT) LTD.,25-KM MULTAN ROAD,,7540061-62,,CHIP / STRAW BOARD,CHIP BOARD
NEW-452,PREMIER PLYWOOD INDUSTRIES,"(PVT) LTD. 103 INDUSTRIAL AREA, KOT LAKHPAT",,5151210,,CHIP / STRAW BOARD,PLYWOOD
NEW-453,PUNJAB LAMINATES (PVT) LTD.,22 KM MULTAN ROAD,,7410937-8,,CHIP / STRAW BOARD,CHIP BOARD
NEW-454,RAVI CHIP BOARD (PVT) LTD,", MULTAN ROAD, MANGA MANDI BYE PASS",,5384071,,CHIP / STRAW BOARD,CHIP BOARD
NEW-455,STAHLCO WOOD TECH INDUSTRIES,(PVT) LTD. 21-KM FEROZEPUR ROAD,,"5270757, 5270403",,CHIP / STRAW BOARD,PLYWOOD
