Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-773,A ONE ZARI FACTORY,ST. 33 QILA LUCHMAN SINGH RAVI ROAD,,7726299,,EMBROIDERY,EMBROIDERED CLOTH
NEW-774,A.R. EMBROIDERY 6TH KM SHEIKHUPURA,"ROAD, SHAHDARA",,7914213,,EMBROIDERY,EMBROIDERED CLOTH
NEW-775,AAMER ZARI FACTORY,AHMAD PARK RAVI ROAD,,,,EMBROIDERY,EMBROIDERED CLOTH
NEW-776,ABID NISAR INTERNATIONAL PLOT NO.3,TIMBER MARKET,,7768668,,EMBROIDERY,EMBROIDERED CLOTH
NEW-777,AFSHAN EMBROIDERY WORLD 16.NEW SHALIMAR ROAD,SHERA KOT,,7412793,,EMBROIDERY,EMBROIDERED CLOTH
NEW-778,AFZAL MAZHAR EMBROIDERYWORKS,GANDA NALLAH SHERA KOT,,7466920,,EMBROIDERY,EMBROIDERED CLOTH
NEW-779,AHMAD EMBROIDERY RAILY PLAZI KAREEM BLOCK ALLAM IQBAL TOWN,,,0321-4012846,,EMBROIDERY,EMBROIDERED CLOTH
NEW-780,AKRAM EMBROIDERY OPP.,"MASJID NOOR-UL-ISLAM OUT FALL ROAD, SANAT NAGAR",,7115355,,EMBROIDERY,EMBROIDERED CLOTH
NEW-781,ALA EMBROIDERY 5-COMMERCIAL AREA IRSHAD PLAZA,KAREEM BLOCK,,5425007,,EMBROIDERY,EMBROIDERED CLOTH
NEW-782,ALI EBMROIDERY MUGHALPARK SAGGIAN PUL,,,7146957,,EMBROIDERY,EMBROIDERED CLOTH
NEW-783,"ALIM EMBROIDERY WORKS MAIN BUND ROAD, OPP. FIRDUS FLOOR MILLS",,,,,EMBROIDERY,EMBROIDERED CLOTH
NEW-784,AL-KARAM EMBROIDERY BUND ROAD,SANDA KALAN,,7242373,,EMBROIDERY,EMBROIDERED CLOTH
NEW-785,AL-MADINA EMBROIDERY MUGHAL PARK,SAGIAN BRIDGE,,0333-4229152,,EMBROIDERY,EMBROIDERED CLOTH
NEW-786,AL-NOOR EMBROIDERY BRA DARI ROAD,SHAHDARA,,7911896,,EMBROIDERY,EMBROIDERED CLOTH
NEW-787,AL-RAHEEM EMBROIDERY OPP. MOSQUE NOOR AL-ISLAM OUT FALL ROAD,SANT NAGAR,,7152300,,EMBROIDERY,EMBROIDERED CLOTH
NEW-788,AL-REHMAN EMBROIDERY STOP NO.25,SHEIKHUPURA ROAD,,7911122,,EMBROIDERY,EMBROIDERED CLOTH
NEW-789,AL-SAAD ESTABLISHENT (PVT) LTD.,", 65-RAIWIND ROAD",,5321470,,EMBROIDERY,EMBROIDERED CLOTH
NEW-790,AL-SHIKEH EMBROIDERY HOUSE,"H.NO.47, ST.NO.55/A, OUT FALL ROAD, SANT NAGAR",,0300-6402562,,EMBROIDERY,EMBROIDERED CLOTH
NEW-791,AL-UMER EMBROIDERY J-2,IQBAL CENTER KAREEM BLOCK ALLAMA IQBAL TOWN,,5416835,,EMBROIDERY,EMBROIDERED CLOTH
NEW-792,ANCHAL EMBROIDERY (PVT) LTD.,", HOLIDAY PARK 5KM RAIWIND ROAD",,5320815,,EMBROIDERY,EMBROIDERED CLOTH
NEW-793,ARSHAD EMBROIDERY WORKS MUSHTAQ TOWN,IJAZ STREET MAIN BUND ROAD,,7555317,,EMBROIDERY,EMBROIDERED CLOTH
NEW-794,ATM FABRIC 8KM RAIWIND ROAD,,,5321000,,EMBROIDERY,EMBROIDERED CLOTH
NEW-795,AYESHA EMBIODERY 36-HOLIDAY PARK ASHRAFABAD,,,5321787,,EMBROIDERY,EMBROIDERED CLOTH
NEW-796,BASHARAT EMBROIDERY WORKS NOOR AL-ISLAM OUT FALL ROAD,SANATNAGAR,,7123314,,EMBROIDERY,EMBROIDERED CLOTH
NEW-797,BILAL EMBROIDERY (PV)T) LTD.,5KM RAIWIND ROAD,,5321333,,EMBROIDERY,EMBROIDERED CLOTH
NEW-798,BISMA EMBROIDRY 5K.M. RAIWIND ROAD,HOLY DAY PARK,,,,EMBROIDERY,EMBROIDERY ITEMS
NEW-799,BOMBAY ZARI FACTORY,MOHNI ROAD,,7354036,,EMBROIDERY,EMBROIDERY ITEMS
NEW-800,BUX GARMENTS OPP. BANK ROAD,BUND ROAD,,7112614,,EMBROIDERY,EMBROIDERED CLOTH
NEW-801,CHAUDRY EMBROIDERY 2J KHALID PLAZA KAREEM BLOCK ALLAM IQBAL TOWN,,,5437377,,EMBROIDERY,EMBROIDERED CLOTH
NEW-802,CHAWALA CREATIONS 136-KM INDUSTRIAL AREA TOWNSHIP,,,5151032,,EMBROIDERY,EMBROIDERED CLOTH
NEW-803,CLASSIC EMBROIDERY PLOT NO.16/131,"18/3, PUNJAB SMALL INDUSTRIAL ESTATE KOT LAKHPAT",,5824633,,EMBROIDERY,EMBROIDERED CLOTH
NEW-804,CRYSTAL EMBROIDERY 12-COMMERCIAL AREA KAREEM BLOCK ALLAMA IQBAL TOWN,,,5435661,,EMBROIDERY,EMBROIDERED CLOTH
NEW-805,"EJAZ DESIGNING AND EMBROIDERY CENTRE 12/A, GHAZI PARK OPP. STREET CORP.",PECO ROAD,,5842900-1,,EMBROIDERY,EMBROIDERED CLOTH
NEW-806,ELITE EMBROIDERY GLAXO FEROZEPUR ROAD,,,5800701,,EMBROIDERY,EMBROIDERED CLOTH
NEW-807,EXCEL COTTON (PVT) LTD.,"9 KM., MANOO CHOWK DEFENCE ROAD",,5321864-5,,EMBROIDERY,EMBROIDERED CLOTH
NEW-808,FASHION EMBROIDERY (PVT) LTD.,"PLOT NO.20,21 ALI RAZA ABAD 5.5-KM RAIWIND ROAD",,"5321345, 5321678",,EMBROIDERY,EMBROIDERED CLOTH
NEW-809,GOHAR EMBROIDERY SERVICES 71,"USMAN ST. SHARIF PARK OUT FALL ROAD, SANT NAGAR",,0300-4239137,,EMBROIDERY,EMBROIDERED CLOTH
NEW-810,HAFIZ EMBROIDERY BILAL HABSHI STREET SANAT NAGAR,,,7152430,,EMBROIDERY,EMBROIDERED CLOTH
NEW-811,HAFIZ ZARI HOUSE ST. 10 MOHNI ROAD,,,7233098,,EMBROIDERY,EMBROIDERED CLOTH
NEW-812,HASSAN EMBROIDERY 11-DANA PLAZA NAZEEM BLOCK ALLAMA IQBAL TOWN,,,5436712,,EMBROIDERY,EMBROIDERED CLOTH
NEW-813,HURRA EMBROIDERY (PVT) LTD.,5.5-K.M. RAIWIND ROAD,,5320571,,EMBROIDERY,EMBROIDERY ITEMS
NEW-814,IMRAN ART PLOT NO.18-19,INDUSTRIAL AREA GULSHAN RAVI,,7416000,,EMBROIDERY,EMBROIDERED CLOTH
NEW-815,ITTEHAD EMBROIDERY (PVT) LTD.,", HOLIDAY PARK 5KM RAIWIND ROAD",,5321018,,EMBROIDERY,EMBROIDERED CLOTH
NEW-816,KENTEX (PVT) LTD.,", NEAR RAILWAY STUDIO KOT LAKHPAT",,5808298,,EMBROIDERY,EMBROIDERED CLOTH
NEW-817,KING EMBROIDERY & KNITWEAR (PVT) LTD.,", 47-79 INDUSTRIAL ESTATE KOT LAKHPAT",,"111474849
www.kingknitwear.com",,EMBROIDERY,EMBROIDERED CLOTH
NEW-818,KNIT AND STICH EMBROIDERY 24-A,"KASIM ROAD, ISLAMAPURA",,0333-4350810,,EMBROIDERY,EMBROIDERED CLOTH
NEW-819,LABAS EMBROIDERY HOLI DAY PARK (F-9) 5.5KM FROM THOKAR NIAZ BAIG RAIWIND ROAD,,,5320865-65,,EMBROIDERY,EMBROIDERED CLOTH
NEW-820,M & F (EMBROIDERY) 22KM FEROZEPUR ROAD,,,0333-4243753,,EMBROIDERY,EMBROIDERED CLOTH
NEW-821,M.B. EMBROIDERY PLOT NO.3 WALTON ROAD,,,6833207,,EMBROIDERY,EMBROIDERED CLOTH
NEW-822,MADINA EMBROIDERY 8-KM RAIWIND ROAD,(BOTHTTIAN VILLAGE),,5321776,,EMBROIDERY,EMBROIDERED CLOTH
NEW-823,MADINA KNIT WORK 18KM FEROZEPUR ROAD,,,0300-9376795,,EMBROIDERY,EMBROIDERED CLOTH
NEW-824,MOON EMBROIDERY AYUB PLAZA MALIPURA BUND ROAD,,,7727481,,EMBROIDERY,EMBROIDERED CLOTH
NEW-825,MOON ZARI 14-RAVI ROAD,,,7730132,,EMBROIDERY,EMBROIDERED CLOTH
NEW-826,NAVEED EMBROIDERY 18/19 PLOT  GULSHAN RAVI ESTATE,,,7468683,,EMBROIDERY,EMBROIDERED CLOTH
NEW-827,NEW AL-HALAL EMBROIDERY (PVT) LTD.,", HOLIDAY PARK ROAD",,0300-8486220,,EMBROIDERY,EMBROIDERED CLOTH
NEW-828,PASHA AALY ENTERPRISES,190-RIWAZ GARDEN,,358877,,EMBROIDERY,EMBROIDERED CLOTH
NEW-829,PNJTN EMBROIDERY (PVT) LTD.,36 MOMINPURA INDUSTRIAL AREA,,"6559656-7,
www.pnjtn.com",,EMBROIDERY,EMBROIDERED CLOTH
NEW-830,PRIME EMBROIDERY 31-CIVIC CENTRE MOON MARKET,GULSHAN RAVI,,7470665,,EMBROIDERY,EMBROIDERED CLOTH
NEW-831,RAHIM EMBROIDERY 11-DANISH PLAZA KAREEM BLOCK ALLAMA IQBAL TOWN,,,5433621,,EMBROIDERY,EMBROIDERED CLOTH
NEW-832,RANI EMBROIDERY (PVT) LTD.,", HOLIDAY PARK 5KM RAIWIND ROAD",,5320197,,EMBROIDERY,EMBROIDERED CLOTH
NEW-833,S.S. ENTERPRISES,QURESHI ST.  SANDA KALAN BUND ROAD,,0300-8426583,,EMBROIDERY,EMBROIDERED CLOTH
NEW-834,SADDAQAT EMBROIDERY OPP. HOSPITAL BUND ROAD,,,7110540,,EMBROIDERY,EMBROIDERED CLOTH
NEW-835,SANABEL EMBROIDERY 34/S INDUSTRIAL ESTATE KOT LAKHPAT,,,5114043,,EMBROIDERY,EMBROIDERED CLOTH
NEW-836,SETHI BROTHERS,"50-D, BABAR PLAZA, CIVIC CENTRE GULSHAN RAVI",,7469253,,EMBROIDERY,EMBROIDERED CLOTH
NEW-837,SHAFAQAT EMBROIDERY  MUGHAL PARK SAGGIAN PULL,,,0300-9458264,,EMBROIDERY,EMBROIDERED CLOTH
NEW-838,SHAHID EMBROIDERY WORKS QURESHI ST. BUND ROAD,SANDA KALAN,,7113445,,EMBROIDERY,EMBROIDERED CLOTH
NEW-839,SHEIKH HOSIERY MAIN OUT FALL ROAD,NEAR SABIR SWEET SANT NAGAR,,7153294,,EMBROIDERY,EMBROIDERED CLOTH
NEW-840,SLD EMBRIODERS BUND ROAD,OPP. MUNSHI HOSPITAL,,7356584,,EMBROIDERY,EMBROIDERED CLOTH
