Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-1810,ABUZAR GINDING MILLS,LTD. 124/3 INDUSTRIAL AREA KOT LAKHPAT,,5115032,,MARBLE INDUSTRY,MARBLE PRODUCTS
NEW-1811,FARID MINERAL WORKS 27/C,SMALL INDUSTRIAL. ESTATE,,,,MARBLE INDUSTRY,MARBLE PRODUCTS
NEW-1812,GULISTAN MARBEL & GRANITE,KOT LAKHPAT,,35118915-17,,MARBLE INDUSTRY,MARBLE PRODUCT
NEW-1813,MODERN INDUSTRIES,"25/C, SMALL INDUSTRIAL. ESTATE",,,,MARBLE INDUSTRY,MARBLE PRODUCTS
NEW-1814,RAVI MARBLE INDUSTRIES,(PVT) LTD. INDUSTRIAL AREA KOT LAKHPAT,,854570,,MARBLE INDUSTRY,MARBLE PRODUCTS
NEW-1815,S. M. BROTHER MARBLES 113/5 INDUSTRIAL. AREA KOT LAKHPAT,,,841932,,MARBLE INDUSTRY,MARBLE PRODUCTS
NEW-1816,SALAMAT ENTERPRISES,(PVT) LTD. 2 KM KALA KHATAI ROAD SHAHDARA,,,,MARBLE INDUSTRY,MARBLE PRODUCTS
NEW-1817,TKR TRADERS,74-D SUNDAR INDUSTRIAL ESTATE,,"5303295, 5303600",,MARBLE INDUSTRY,MARBLE PRODUCTS
NEW-2992,BOMBAY ZARI FACTORY,MOHNI RAOD,,,,ZARI INDUSTRY,TILA GOTA
NEW-2993,MOON ZARI INDUSTRIES,-14 RAVI ROAD,,,,ZARI INDUSTRY,TILA GOTA
NEW-2994,PASHA ALAY ENTERPRISES190-RIWAZ GARDEN,,,,,ZARI INDUSTRY,TILA GOTA
