Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-961,AHMED DIN & SONS,KACHA RAHIM ROAD,,7281048,,FORGING,FORGING
NEW-962,AL-TECH. ENGINEERING & MANUFACTURERS,,,5412429,,FORGING,FORGING
NEW-963,AMJAD AMIN FORGING DAWOOD COLONY G.T.ROAD DAROGHAWALA,,,6546903,,FORGING,FORGING
NEW-964,FORGING FORLLING OF MECHANICAL PARTS EJAZ BROS. MOMINPURA ROAD,,,6543137 6544324,,FORGING,FORGING
NEW-965,HANIF ENGINEERING WORKS BUND ROAD,,,7600312,,FORGING,FORGING
NEW-966,HANIF FARM INDUSTRIES,BARADARI ROAD SHAUKAT COLONY SHAHDARA,,7927615,,FORGING,FORGING
NEW-967,MANNAN SHAHID FORGING (PVT) LTD.,OFF. G.T. ROAD MOMINPURA DAROGHAWALA,,6550330,,FORGING,FORGING
NEW-968,MIAN USMAN & SONS,FAROOQI ST. RAFIABAD BUND ROAD,,711706,,FORGING,FORGING
NEW-969,MILL ROAD SPECIALISTS INDUSTRIAL AREA MOMINPURA DAROGHAWALA,,,6543076,,FORGING,FORGING
NEW-970,MOHD. SARWAR ENGINEERING WORKS MOMINPURA ROAD AKBAR COLONY DAROGHAWAALA,,,6546104,,FORGING,FORGING
NEW-971,MUGHAL FORGING WORKS SULTAN MAHMOOD ROAD SHALIMAR TOWN,,,6851373,,FORGING,FORGING
NEW-972,QADRI BROTHERS,"(PVT) LTD, ABDUL QAYYUM ROAD, BADAMI BAGH",,7705054,,FORGING,"FORGING,  CASTINGS"
NEW-973,S. A. BROTHERS,BUND ROAD MAHMOOD BOOTI,,6544978,,FORGING,FORGING
NEW-974,S.A. INDUSTRIES,MOMINPURA ROAD,,6547275,,FORGING,FORGING
NEW-975,SAJJAD ENGINEERING WORKS (FORGING)BUND ROAD,MAHMOOD BOOTI LAHORE,,6542407,,FORGING,FORGING
NEW-976,ZAHID & CO. LIBYA COLONY G.T.ROAD DAROGHAWALA,,,6543002,,FORGING,FORGING
