Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-1853,A.M.K.ENGG.WORKS 27-KM MULTAN ROAD,,,6365991,,NUT & BOLT,NUT & BOLTS
NEW-1854,ABDUL SATTAR DATA NAGAR BADAMIBAGH,,,7283153,,NUT & BOLT,NUT & BOLTS
NEW-1855,ABID WASHER MAKER SHALIMAR TOWN,,,340560,,NUT & BOLT,NUT & BOLTS
NEW-1856,ALPINE INDUSTIAL COMPANY G.T. ROAD DAROGHAWALA,,,,,NUT & BOLT,BOLTS
NEW-1857,AMJAD JAVED & BROS SULTAN MAHMOOD ROAD,,,341254,,NUT & BOLT,NUT & BOLTS
NEW-1858,BUTT FASTENER INDUSTRIES,DEFENCE ROAD,,5540440,,NUT & BOLT,NUT & BOLTS
NEW-1859,EASY FASTENEST (PVT) LTD.,DEFENCE ROAD,,,,NUT & BOLT,NUT & BOLTS
NEW-1860,HAFEEZ ULLAH SCREW AND ALLIED INDUSTRIES,MULTAN ROAD,,7830377,,NUT & BOLT,SCREWS
NEW-1861,HAMID NUTS BOLTS BAGHBANPURA,,,6964479,,NUT & BOLT,NUT & BOLTS
NEW-1862,HASSAN ENTERPRISES,POLICE STATION BUND ROAD,,,,NUT & BOLT,NUT & BOLTS
NEW-1863,IRFAN INDUSTRIES,MOMINPURA ROAD DAROGHAWALA,,6890337,,NUT & BOLT,NUT & BOLTS
NEW-1864,KALANI BOLT AND HAND TOOLS INDUSTRIES,", IQBAL PARK BUND ROAD, NEW FIRDOUS COLD STORAGE",,7605025,,NUT & BOLT,NUT & BOLTS
NEW-1865,KHALID NUT AND BOLTS G.T.ROAD BAGHBANPURA,,,,,NUT & BOLT,NUT & BOLTS
NEW-1866,LAHORE IRON WORKS BUND ROAD,,,212117,,NUT & BOLT,NUT & BOLTS
NEW-1867,MUHAMMAD YOUNIS KOT SHAHBUDDIN,,,7924690,,NUT & BOLT,NUT & BOLTS
NEW-1868,MUSHTAQ ENGINEERING KHOKHAR ROAD BAGHBANPURA,,,6602463,,NUT & BOLT,NUT & BOLTS
NEW-1869,MUZAFFAR BUTT INDUSTRIES,SAEED PARK,,7240896,,NUT & BOLT,NUT & BOLTS
NEW-1870,NASIR NUTS BOLTS BAGHBANPURA,,,7221067,,NUT & BOLT,NUT & BOLTS
NEW-1871,NATIONAL ENGINEERINGWORKS AMIN PARK RAVI ROAD,,,,,NUT & BOLT,NUT & BOLTS
NEW-1872,NUPATS ENGINEERING(PVT)LTD. 19-KM WAHGA ROAD,,,689008,,NUT & BOLT,NUT & BOLTS
NEW-1873,PRIME ENGINEERING WORKS SHAHDARA,,,7925534,,NUT & BOLT,NUT & BOLTS
NEW-1874,SALEEM INDUSTRIES,WAHDAT ROAD MUSLIM TOWN,,5865591,,NUT & BOLT,NUT & BOLTS
NEW-1875,SALMAN & CO. MAIN ROAD SHAHDARA,,,7359145,,NUT & BOLT,NUT & BOLTS
NEW-1876,SARFRAZ BROS.& CO. LAJPAT NAGAR SHAHDARA,,,7922217,,NUT & BOLT,NUT & BOLTS
NEW-1877,SHARIF INDUSTRIES,DATA NAGAR BADAMIBAGH,,7602355,,NUT & BOLT,NUT & BOLTS
NEW-1878,TECHMAN,"H-59, SURRYA JABEEN BAGHBAN PURA",,36858769,,NUT & BOLT,NUTS BOLT
NEW-1879,UNITED SCREW INDUSTRIES,"(PVT) LTD., 176/S, INDUSTRIAL ESTAT KOT LAKHPAT",,5152540,,NUT & BOLT,NUT & BOLTS
NEW-1880,YOUSAF INDUSTRIES,ALHADEED BAZAR,,7650629,,NUT & BOLT,NUT & BOLTS
