Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-1554,1K KNITWEAR 21 K.M. MAIN FEROZEPUR ROAD,,,0300-9436257,,KNITTED TEXTILE,KNITTED FABRIC
NEW-1555,A.W.A ENTERPRISES,18-K.M. FEROZEPUR ROAD,,,,KNITTED TEXTILE,KNITTED FABRIC
NEW-1556,ACTIVE APPERALS INTERNATIONAL LTD.,", KOT LAKHPAT",,35117891  35117775,,KNITTED TEXTILE,KNITTED TEXTILE
NEW-1557,ALI AKBAR FABRICS (PVT) LTD.,", 6KM RAIWIND ROAD",,,,KNITTED TEXTILE,KNITTED FABRIC
NEW-1558,AL-IMTIAZ TEXTILE KNITWEAR (PVT) LTD,21-KM FEROZEPUR ROAD,,5271262,,KNITTED TEXTILE,KNITTED FABRIC
NEW-1559,AL-SHEIKH KNIT WEAR 22-KM,FEROZEPURE ROAD,,0300-9438143,,KNITTED TEXTILE,KNITTED FABRIC
NEW-1560,AMIGO INTERNATIONAL KNIT WEAR (PVT) LTD.,", PLOT NO.642, JAIL ROAD, KOT LAKHPAT",,5812677,,KNITTED TEXTILE,KNITTED FABRIC
NEW-1561,AZAM KNITS AZAM CHOWK 16-KM OFF:FEROZEPUR RD,,,5810701,,KNITTED TEXTILE,KNITTED FABRIC
NEW-1562,AZEEM KNITTING INDUSTRY 21-K.M FEROZEPUR ROAD,,,5273331,,KNITTED TEXTILE,KNITTED FABRIC
NEW-1563,COTTON CRAFT 22 KM FEROZEPUR ROAD,,,5274454,,KNITTED TEXTILE,KNITTED FABRIC
NEW-1564,CRAFT TEXTILE KNITWARE,KOT LAKHPAT,,35145257-9,,KNITTED TEXTILE,KNITTED TEXTILE
NEW-1565,CRYSTAL KNITTER,20 KM FEROZEPUR ROAD,,5272098,,KNITTED TEXTILE,KNITTED FABRIC
NEW-1566,FASHION KNIT,"1.5, KOT LAKHPAT, INDUSTRIAL ESTATE",,5118126,,KNITTED TEXTILE,KNITTED FABRIC
NEW-1567,HAJI ABDUL KHALIQ KNIT WORKS MUGHAL PARK,SAGGIAN PUL BUND ROAD,,7265478,,KNITTED TEXTILE,KNITTED FABRIC
NEW-1568,IBRAHIM KNITTING FACTORY,"17-KM, FEROZEPUR ROAD",,5821189,,KNITTED TEXTILE,KNITTED FABRIC
NEW-1569,IJAZ KNITWEAR (PVT) LTD,17-KM FEROZEPUR ROAD,,5811948,,KNITTED TEXTILE,KNITTED FABRIC
NEW-1570,JAZZ FABRIC NEAR RAILWAY STATION KOT LAKHPAT,,,5822152-5,,KNITTED TEXTILE,KNITTED FABRIC
NEW-1571,"KHAWAJA FAWAD AHMAD, TEXTILE MILLS","GLAXO TOWN, FEROZRPUR ROAD",,,,KNITTED TEXTILE,KNITTED FABRIC
