Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-555,AZHAR RUBBER WORKS DAWOOD ST. G.T.ROAD DAROGHAWALA,,,36552102,,CYCLE TYRES & TUBES,CYCLE TYRES / TUBES
NEW-556,BELTEX (PVT) LTD.,13 KM MULTAN ROAD,,,,CYCLE TYRES & TUBES,CYCLE TYRES / TUBES
NEW-557,CABLE SEAL,KOT LAKHPAT,,35154928,,CYCLE TYRES & TUBES,TYRE & TUBE
NEW-558,CHEMICAL TECHNOLOGIS (PVT) LTD.,25 KM. MULTAN ROAD,,,,CYCLE TYRES & TUBES,CYCLE TYRES / TUBES
NEW-559,FAUJI RUBBER INDUSTRIES,"(PVT) LTD. 16 KM., MULTAN ROAD",,5510205,,CYCLE TYRES & TUBES,CYCLE TYRES / TUBES
NEW-560,GORI TYRE & TUBE (PVT) LTD.,", KOT LAKHPAT",,35113196,,CYCLE TYRES & TUBES,TYRE & TUBE
NEW-561,ITTEFAQ CYCLE TYRE & TUBE FACTORY,SULTAN MEHMOOD ROAD SHALIMAR TOWN,,,,CYCLE TYRES & TUBES,CYCLE TYRES / TUBES
NEW-562,K.C.M. RUBBER INDUSTRY 2 KM SHEIKHUPURA ROAD,,,,,CYCLE TYRES & TUBES,CYCLE TYRES / TUBES
NEW-563,MRQ RUBBER INDUSTRIES,PLOT # 105 INDUSTRIAL. AREA KOT LAKHPAT,,5122745,,CYCLE TYRES & TUBES,CYCLE TYRES / TUBES
NEW-564,NYLEX (PVT) LTD.,"129/3 INDUSTRIAL AREA, KOT LAKHPAT",,35120427,,CYCLE TYRES & TUBES,CYCLE TYRES / TUBES
NEW-565,RIZWAN RAFI RUBBER WORKS ST. # 9 H. # 37 SHEIKHAN ROAD BHOGIWAL,,,0300-4843162,,CYCLE TYRES & TUBES,CYCLE TYRES / TUBES
NEW-566,RUBBEREX ROAD WHEELS 129/6 KOT KAKHPAT,,,5152144,,CYCLE TYRES & TUBES,CYCLE TYRES / TUBES
NEW-567,SEVEN STAR RUBBER INDS. SULTAN MAHMOOD ROAD SHALAMAR TOWN,,,36554023,,CYCLE TYRES & TUBES,CYCLE TYRES / TUBES
