Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-2528,AL SHARIF TEXTILE INDUSTRIES,(PVT) LTD. 13.5-KM MULTAN ROAD LINK KATAR BUND ROAD,,5430591-2,,TENTS,CANVAS CLOTH/TENTS
NEW-2529,AMANA TEXTILES 18-KM FEROZEPUR ROAD,,,"5811415
www.amanatextiles.com",,TENTS,CANVAS CLOTH/TENTS
NEW-2530,ATARA TARPAULINE & TEXTILE INDUSTRIES,18-KM FEROZEPUR ROAD,,"5821075, 5822143",,TENTS,CANVAS CLOTH/TENTS
NEW-2531,CITI TEXTILES (PVT) LTD.,30-KM FEROZEPUR ROAD,,5273725,,TENTS,CANVAS CLOTH/TENTS
NEW-2532,H.M.S. TENTS TEXTILE INDUSTRIES,23-KM MULTAN ROAD,,"7540702-5
hmstenttextile.com.pk",,TENTS,CANVAS CLOTH/TENTS
NEW-2533,HAJI SH. NOOR-UL-DIN & SONS,(PVT) LTD 12-KM MULTAN ROAD,,"6662491-6661876,
111131313",,TENTS,CANVAS CLOTH/TENTS
NEW-2534,HAJI SHEIKH  NAWABDIN  & SONS,(PVT) LTD. 18/19 KM FEROZEPUR ROAD,,"5813951-5822037
www.snstents.com",,TENTS,CANVAS CLOTH/TENTS
NEW-2535,KHAWAJA NASEER-UD-DIN & SONS,123/2 INDUSTRIAL AREA KOT LAKHPAT,,"7586347-7587465
www.armofab.com",,TENTS,CANVAS CLOTH/TENTS
NEW-2536,MALIK SHABIR AHMAD & SONS,", 24 KM MULTAN ROAD",,"7540762
www.msasternt.com",,TENTS,CANVAS CLOTH/TENTS
NEW-2537,MERAJ SONS,LTD 69/71 RAVI ROAD,,200680-81,,TENTS,CANVAS CLOTH/TENTS
NEW-2538,SAEED TEXTILE ENTERPRISES,", 23 KM., MULTAN ROAD MOHLANWAL",,7540540,,TENTS,TENTS
NEW-2539,SHAN TENTAGE 2 KM. KACHA ROAD KAHNA NOU,,,5270576,,TENTS,CANVAS CLOTH/TENTS
NEW-2540,UNIVERSAL TRADING CORPORATION 23-KM FEROZEPUR ROAD,,,"5272561
www.tentsandshelters.co m",,TENTS,CANVAS CLOTH/TENTS
