Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-583,A.F. TRADERS NEW BHOGIWAL LINK BUND ROAD,,,,,DOUBLING OF YARN,DOUBLING OF YARN
NEW-584,AHMAD DOUBLING WORKS BUND ROAD MAHMOOD BOOTI,,,6557611,,DOUBLING OF YARN,DOUBLING OF YARN
NEW-585,AKRAM INDUSTRIES,PAKISTAN MINT G.T.ROAD,,6542050 6302295,,DOUBLING OF YARN,DOUBLING OF YARN
NEW-586,ASIM IRSHAD DOUBLING MAIN SALAMATPURA DAROGHAWALA,,,0300-9400164,,DOUBLING OF YARN,DOUBLING OF YARN
NEW-587,B.K.TEXTILE INDUSTRIES,(PVT) LTD. 18 KM. MULTAN ROAD,,7510952-53,,DOUBLING OF YARN,DOUBLING OF YARN
NEW-588,CHAUDHRY THREAD WORKS CHAMAN PARK FATEH GARH,,,"6549795, 6362366",,DOUBLING OF YARN,DOUBLING OF YARN
NEW-589,FIVE STAR THREAD 23-S-INDUSTRIAL. AREA KOT LAKHPAT,,,5115184,,DOUBLING OF YARN,DOUBLING OF YARN
NEW-590,HIRA ENTERPRISES,22-KM OFF FEROZEPUR ROAD ROHI NALLAH NEAR NISHAT FINISHING MILLS,,"5272409, 5272410",,DOUBLING OF YARN,DOUBLING OF YARN
NEW-591,IQBAL DOUBLING WORKS NEAR AJMAL HOSIERY BUND ROAD,,,7451341,,DOUBLING OF YARN,DOUBLING OF YARN
NEW-592,J&P COATS PAKISTAN (PVT) LTD.,MOUZA BHOBATIAN 10.5-KM LAHORE RAIWIND ROAD,,5322051-55,,DOUBLING OF YARN,DOUBLING OF YARN
NEW-593,JAVED THREAD WORKS PLOT # 5 13-ZERFISHAN ST. KASURPURA RAVI ROAD,,,7720360,,DOUBLING OF YARN,DOUBLING OF YARN
NEW-594,MAHAD THREAD 19-KM OFF FEROZEPUR ROAD NEAR DAR-UL-HIKMAT SCHOOL DULLO KALAN,,,5273791,,DOUBLING OF YARN,DOUBLING OF YARN
NEW-595,RAVI THREAD WORKS (PVT) LTD.,KACHA KAHNA 18 KM FEROZEPUR ROAD,,7652644-45,,DOUBLING OF YARN,DOUBLING OF YARN
NEW-596,S.R. ENTPERPRISES 8-KM FROM NIAZ BAIG THOKHAR RAIWIND ROAD,,,0300-849352 5411011,,DOUBLING OF YARN,DOUBLING OF YARN
NEW-597,SHAFAK TEXTILE,"AL-RIAZ PLAZA, 17 KM., MAIN FEROZEPUR ROAD",,"5825031-32,
www.shafaktextiles.com. pk",,DOUBLING OF YARN,DOUBLING OF YARN
NEW-598,TAHIR HAFEEZ THREAD WORKS NEAR AJMAL HOSIERY BUND ROAD,,,7461500,,DOUBLING OF YARN,DOUBLING OF YARN
