Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-2899,AYESHA COOKING OIL MILLS,(PVT) LTD. RAIWIND MANGA ROAD,,7653338,,VEGETABLE GHEE AND COOKING OIL,VEGETABLE GHEE
NEW-2900,GULF EDIBLE OILS (PVT) LTD.,AHBAB COLONY 12-KM. MULTAN ROAD,,,,VEGETABLE GHEE AND COOKING OIL,COOKING OIL (REFINED)
NEW-2901,HBM OIL & GHEE MILLS,", 29 KM., FEROZEPUR ROAD",,"6671347, 6688884",,VEGETABLE GHEE AND COOKING OIL,"VEGETABLE GHEE
/COOKING OIL"
NEW-2902,KAKASIAN OIL MILLS,(PVT) LTD. 30 KM. FEROZEPUR ROAD,,7270649,,VEGETABLE GHEE AND COOKING OIL,"VEGETABLE GHEE, COOKING OIL"
NEW-2903,MAHBOOB INDUSTRIES,(PVT) LTD 125-A INDUSTRIAL AREA KOT LAKHPAT,,,,VEGETABLE GHEE AND COOKING OIL,"VEGETABLE GHEE
/COOKING OIL"
NEW-2904,NEW ITTEFAQ OIL MILLS,STATION ROAD KOT LAKHPAT,,5810726,,VEGETABLE GHEE AND COOKING OIL,VEGETABLE GHEE
NEW-2905,RACHNA OILS (PVT) LTD.,"12 KM., MULTAN ROAD, THOKAR NIAZ BAIG",,5220002,,VEGETABLE GHEE AND COOKING OIL,"VEGETABLE GHEE
/COOKING OIL"
NEW-2906,SADIQ SONS,"GHEE & OIL MILLS (PVT) LTD., BHOPTIAN CHOWK, RAIWIND ROAD",,5321855-8,,VEGETABLE GHEE AND COOKING OIL,"VEGETABLE GHEE
/COOKING OIL"
NEW-2907,SADIQ VEGETABLE GHEE MILLS,(PVT) LTD 21 K.M.FEROZEPUR ROAD,,5273621-3,,VEGETABLE GHEE AND COOKING OIL,"VEGETABLE GHEE
/COOKING OIL"
NEW-2908,TAJ GHEE MILLS,BEHIND PAKISTAN MINT,,6815026,,VEGETABLE GHEE AND COOKING OIL,VEGETABLE GHEE
