Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-2910,A.B. PLASTIC (PVT) LTD.,",",,7706253,,WIRE & CABLE,WIRE & CABLE
NEW-2911,"A.S. CABLE INDUSTRY DARS ROAD, NEAR TYRE FACTORY","P.O. BAGHBANPURA, MUGHALPURA",,6858766,,WIRE & CABLE,WIRE & CABLE
NEW-2912,AKRAM COPPER WIRE INDUSTRIES,"MUHAMMAD PURA, JATTAN BAGHBANPURA",,6812762,,WIRE & CABLE,COPPER WIRE
NEW-2913,AL-BARK CABLES (PVT) LTD.,", 10-MANSOORAH MARKET MULTAN ROAD",,35432082,,WIRE & CABLE,WIRE & CABLE
NEW-2914,AMER CABLE INDUSTRIES,(PVT) LTD. 102 RAVI ROAD,,7722108-9,,WIRE & CABLE,WIRE & CABLE
NEW-2915,AMJAD COPPER WIRE WORKS,"MASOOM SHAH, ROAD, BADAMI BAGH",,7606812,,WIRE & CABLE,COPPER WIRE
NEW-2916,"A-N, WIRE INDUSTRIES","MOMINPURA, ROAD, SHARIFPURA",,6554737,,WIRE & CABLE,WIRE DRAWING
NEW-2917,ASIAN CABLES (PVT) LTD.,KOT LAKHPAT STATION ROAD,,,,WIRE & CABLE,CABLE
NEW-2918,ASIAN CABLES (PVT). LTD,", STATION ROAD, KOT LAKHPAT",,5820771,,WIRE & CABLE,WIRE & CABLE
NEW-2919,ASIF BROTHERS,LECO SHOP MUGHAL PURA,,36852399,,WIRE & CABLE,WIRE & CABLE
NEW-2920,"ATTA CALBE, (PVT) LTD.",",",,7923372,,WIRE & CABLE,COPPER WIRE
NEW-2921,AZAM PLASTIC WORKS,"147 A-BLOCK NO. 4, KARIM PARK, RAVI ROAD",,7703994,,WIRE & CABLE,WIRE & CABLE
NEW-2922,BILAL INDUSTRIES,", BARADARI, ROAD, SHAHDARA",,7920504,,WIRE & CABLE,WIRE KNITTING
