Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-1138,AL FATEH TOUGHENED GLASS INDUSTRIES,241 SUNDAR INDUSTRIAL ESTATE,,7723387-9,,GLASS & GLASS PRODUCTS,GLASS PRODUCTS
NEW-1139,ALAM SHOMAL INDUSTRY CHAMAN COLONY,"BARADARI ROAD, SHAHDARA",,7920506,,GLASS & GLASS PRODUCTS,GLASS PRODUCTS
NEW-1140,ASAD GLASS INDUSTRIES,"MIAN ASLAM ROAD, BECO ROAD BADAMI BAGH",,,,GLASS & GLASS PRODUCTS,GLASS PRODUCTS
NEW-1141,CHAUDHRY BOTTLE WORKS SHAHDARA,,,,,GLASS & GLASS PRODUCTS,GLASS PRODUCTS
NEW-1142,CRYSTAL LINE,21KM FEROZEPUR ROAD,,0300-4518570,,GLASS & GLASS PRODUCTS,GLASS PRODUCTS
NEW-1143,CRYSTAL WORLD GLASS FURNITURE NEAR HOME WORTHY PANELS KATAR BUND ROAD,THOKAR NIAZ BAIG,,5417237 FAX:5417343,,GLASS & GLASS PRODUCTS,GLASS PRODUCTS
NEW-1144,DATA GLASS INDUSTTIES -III,REHMAN PARK NEAR RAILWAY GULBERG,,5764822,,GLASS & GLASS PRODUCTS,GLASS PRODUCTS
NEW-1145,MILLI GALLON INDUSTRIES,NEAR RAILWAY STATION BADAMI BAGH,,,,GLASS & GLASS PRODUCTS,GLASS PRODUCTS
NEW-1146,MOON GLASS WORKS SUI GASS SAEED PARK,"SHAHDARA, MORE",,7930472,,GLASS & GLASS PRODUCTS,GLASS PRODUCTS
NEW-1147,PAK BEAT COMPANY KATAR BUND ROAD THOKER NIAZ BAIG,,,322898,,GLASS & GLASS PRODUCTS,GLASS PRODUCTS
NEW-1148,PEARL & BEAD MANUFACTURING CO. (PVT) LTD.,KATAR BUND ROAD THOKAR NIAZ BAIG MULTAN ROAD,,5221401,,GLASS & GLASS PRODUCTS,GLASS PRODUCTS
NEW-1149,PEARL GLASS (PVT) LTD,5-RAIWIND ROAD,,,,GLASS & GLASS PRODUCTS,GLASS PRODUCTS
NEW-1150,PHARMA GLASS FACTORY,NEAR RAILWAY STATION BADAMI BAGH,,,,GLASS & GLASS PRODUCTS,GLASS PRODUCTS
NEW-1151,POPULAR WHIRI POOL BATH TUBS   127-A,1-FAZILA COLONY FEROZEPUR ROAD,,37581915,,GLASS & GLASS PRODUCTS,GLASS PRODUCTS
NEW-1152,QADRI GLASS INDUSTRY 12-N,INDUSTRIAL AREA GULBERG - II,,"5773787 5873787
FAX:5758326",,GLASS & GLASS PRODUCTS,GLASS PRODUCTS
NEW-1153,QASIM GLASS FACTORY,"311 G.T. ROAD, BAGH BANPURA.",,6862392,,GLASS & GLASS PRODUCTS,GLASS PROUCTS
NEW-1154,RADIANT GLASS (PVT) LTD.,", 20KM FEROZEPUR ROAD",,"5272318 5272268
FAX:5272824",,GLASS & GLASS PRODUCTS,GLASS PRODUCTS
NEW-1155,RADIANT GLASS (PVT) LTD.,", OPP, AGNUS CENTERAL 20-KM FEROZEPUR",,35272318,,GLASS & GLASS PRODUCTS,GLASS PRODUCTS
NEW-1156,RAFIQUE GLASS HOUSE. LINK KATAR BUND ROAD,,,5220217,,GLASS & GLASS PRODUCTS,GLASS PRODUCTS
NEW-1157,RAVI GLASS FACTORY,"NEAR SOHRAB FACTORY, 7-KM SHEIKHUPURA, ROAD, SHAHDARA,",,-,,GLASS & GLASS PRODUCTS,GLASS PRODUCTS
NEW-1158,REHMAT GLASS MANAWAN 10-KM. G.T.ROAD,,,,,GLASS & GLASS PRODUCTS,GLASS PRODUCTS
NEW-1159,SADIQ GLASS G.T.ROAD.MOMINPURA,,,,,GLASS & GLASS PRODUCTS,GLASS PRODUCTS
NEW-1160,SEVEN STAR FACTORY,"DAROGHAWALA, G.T. ROAD. C/O SUNNY BISCUIT,",,6541930,,GLASS & GLASS PRODUCTS,GLASS PRODUCTS
NEW-1161,USMAN TRADER SAEED PARK,SHAHDARA,,-,,GLASS & GLASS PRODUCTS,GLASS PRODUCTS
NEW-1162,YAIN GLASS INDUSTRY 86-A,INDUSTRIAL AREA GULBERG-II,,5715763,,GLASS & GLASS PRODUCTS,GLASS PRODUCTS
